Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Superliga ,2012/2013,03/08/2012,23:00,Arsenal Sarandi,Union de Santa Fe,1,0,H,1.9,3.39,5.03,1.9,3.5,5.68,1.76,3.3,4.74
Argentina,Superliga ,2012/2013,04/08/2012,01:10,Velez Sarsfield,Argentinos Jrs,3,0,H,2.0,3.24,4.55,2.18,3.3,4.62,1.97,3.12,3.96
Argentina,Superliga ,2012/2013,04/08/2012,18:10,Racing Club,Atl. Rafaela,1,1,D,1.91,3.34,5.09,2.0,3.4,5.09,1.91,3.22,4.05
Argentina,Superliga ,2012/2013,04/08/2012,20:10,Colon Santa FE,Lanus,1,0,H,2.5,3.16,3.27,2.54,3.16,3.36,2.39,2.99,3.04
Argentina,Superliga ,2012/2013,04/08/2012,22:15,Quilmes,Boca Juniors,3,0,H,3.18,3.13,2.58,3.37,3.13,2.58,3.07,2.99,2.38
Argentina,Superliga ,2012/2013,05/08/2012,00:20,Newells Old Boys,Independiente,0,0,D,1.96,3.35,4.59,2.0,3.39,4.71,1.92,3.23,4.05
Argentina,Superliga ,2012/2013,05/08/2012,19:10,Godoy Cruz,All Boys,1,1,D,2.22,3.23,3.78,2.4,3.23,3.92,2.18,3.08,3.39
Argentina,Superliga ,2012/2013,05/08/2012,21:10,San Lorenzo,San Martin S.J.,2,1,H,1.91,3.25,5.17,1.95,3.3,5.17,1.89,3.18,4.23
Argentina,Superliga ,2012/2013,05/08/2012,23:15,River Plate,Belgrano,1,2,A,1.93,3.39,4.74,2.0,3.4,4.9,1.88,3.19,4.21
Argentina,Superliga ,2012/2013,07/08/2012,00:10,Tigre,Estudiantes L.P.,1,2,A,2.5,3.16,3.26,2.5,3.24,3.47,2.33,3.04,3.1
Argentina,Superliga ,2012/2013,10/08/2012,23:10,San Martin S.J.,Colon Santa FE,0,1,A,2.79,3.21,2.86,3.27,3.21,2.86,2.84,2.97,2.54
Argentina,Superliga ,2012/2013,11/08/2012,01:15,Lanus,Newells Old Boys,0,1,A,2.31,3.19,3.56,2.35,3.19,3.6,2.25,3.0,3.3
Argentina,Superliga ,2012/2013,11/08/2012,18:00,Estudiantes L.P.,River Plate,0,2,A,2.44,3.11,3.46,2.47,3.11,3.46,2.35,3.0,3.1
Argentina,Superliga ,2012/2013,11/08/2012,20:10,All Boys,Quilmes,1,1,D,2.65,3.11,3.06,2.65,3.11,3.17,2.5,2.95,2.91
Argentina,Superliga ,2012/2013,11/08/2012,20:10,Belgrano,San Lorenzo,0,0,D,2.56,3.15,3.19,2.64,3.15,3.2,2.41,3.0,2.98
Argentina,Superliga ,2012/2013,12/08/2012,18:50,Argentinos Jrs,Racing Club,0,2,A,2.77,3.08,2.94,2.82,3.1,3.0,2.57,2.96,2.81
Argentina,Superliga ,2012/2013,12/08/2012,21:10,Union de Santa Fe,Godoy Cruz,0,1,A,2.52,3.11,3.26,2.6,3.25,3.41,2.36,3.01,3.07
Argentina,Superliga ,2012/2013,13/08/2012,00:00,Boca Juniors,Tigre,2,0,H,1.98,3.34,4.51,2.0,3.35,4.9,1.85,3.21,4.29
Argentina,Superliga ,2012/2013,13/08/2012,20:30,Atl. Rafaela,Arsenal Sarandi,0,0,D,2.98,3.28,2.59,3.0,3.28,2.7,2.77,3.05,2.54
Argentina,Superliga ,2012/2013,14/08/2012,00:00,Independiente,Velez Sarsfield,0,0,D,3.42,3.15,2.41,3.6,3.15,2.41,3.18,3.02,2.26
Argentina,Superliga ,2012/2013,18/08/2012,20:10,Boca Juniors,All Boys,3,1,H,1.85,3.46,5.16,1.87,3.5,5.5,1.73,3.36,4.86
Argentina,Superliga ,2012/2013,18/08/2012,22:10,Colon Santa FE,Belgrano,2,2,D,2.15,3.2,4.04,2.22,3.2,4.04,2.08,3.05,3.61
Argentina,Superliga ,2012/2013,19/08/2012,00:20,San Lorenzo,Estudiantes L.P.,0,1,A,2.54,3.16,3.1,2.54,3.2,3.3,2.38,3.01,3.01
Argentina,Superliga ,2012/2013,19/08/2012,15:00,Racing Club,Independiente,2,0,H,2.41,3.08,3.49,2.44,3.2,3.49,2.27,3.0,3.19
Argentina,Superliga ,2012/2013,19/08/2012,19:00,Godoy Cruz,Atl. Rafaela,2,0,H,2.27,3.26,3.6,2.27,3.26,3.8,2.13,3.08,3.44
Argentina,Superliga ,2012/2013,19/08/2012,21:15,Velez Sarsfield,Lanus,0,2,A,2.09,3.19,4.28,2.1,3.21,4.4,1.97,3.11,3.96
Argentina,Superliga ,2012/2013,19/08/2012,23:15,Tigre,River Plate,2,3,A,2.71,3.02,3.07,2.74,3.2,3.07,2.49,2.97,2.91
Argentina,Superliga ,2012/2013,20/08/2012,19:00,Quilmes,Union de Santa Fe,2,1,H,2.09,3.18,4.3,2.19,3.21,4.3,2.06,3.07,3.66
Argentina,Superliga ,2012/2013,20/08/2012,21:10,Arsenal Sarandi,Argentinos Jrs,2,2,D,1.99,3.3,4.55,1.99,3.3,4.84,1.87,3.16,4.27
Argentina,Superliga ,2012/2013,20/08/2012,23:15,Newells Old Boys,San Martin S.J.,2,0,H,1.72,3.64,5.85,1.75,3.7,5.85,1.72,3.39,4.92
Argentina,Superliga ,2012/2013,25/08/2012,20:10,All Boys,Tigre,2,2,D,2.72,3.06,3.02,2.73,3.25,3.05,2.52,3.0,2.85
Argentina,Superliga ,2012/2013,25/08/2012,20:10,Union de Santa Fe,Boca Juniors,1,2,A,2.6,3.03,3.2,2.7,3.2,3.26,2.52,2.93,2.91
Argentina,Superliga ,2012/2013,25/08/2012,22:15,Argentinos Jrs,Godoy Cruz,2,1,H,2.44,3.19,3.32,2.5,3.25,3.32,2.38,3.03,3.02
Argentina,Superliga ,2012/2013,26/08/2012,00:20,Independiente,Arsenal Sarandi,0,2,A,3.07,3.12,2.64,3.07,3.2,2.78,2.75,2.97,2.62
Argentina,Superliga ,2012/2013,26/08/2012,19:00,Atl. Rafaela,Quilmes,1,1,D,3.01,3.02,2.76,3.01,3.25,3.2,2.61,2.99,2.75
Argentina,Superliga ,2012/2013,26/08/2012,19:10,Belgrano,Newells Old Boys,0,0,D,3.11,3.1,2.62,3.12,3.2,2.88,2.77,2.93,2.64
Argentina,Superliga ,2012/2013,26/08/2012,21:10,Lanus,Racing Club,1,1,D,2.11,3.18,4.23,2.38,3.2,4.23,2.12,3.09,3.56
Argentina,Superliga ,2012/2013,26/08/2012,21:15,San Martin S.J.,Velez Sarsfield,0,3,A,3.64,3.26,2.24,3.64,3.31,2.31,3.27,3.08,2.22
Argentina,Superliga ,2012/2013,26/08/2012,23:15,River Plate,San Lorenzo,0,0,D,1.88,3.49,4.8,1.93,3.5,5.0,1.86,3.26,4.25
Argentina,Superliga ,2012/2013,27/08/2012,23:15,Estudiantes L.P.,Colon Santa FE,1,2,A,2.25,3.16,3.74,2.4,3.35,3.74,2.24,3.02,3.29
Argentina,Superliga ,2012/2013,01/09/2012,00:30,All Boys,Union de Santa Fe,3,1,H,2.02,3.34,4.29,2.04,3.45,4.59,1.9,3.22,4.09
Argentina,Superliga ,2012/2013,01/09/2012,20:15,Newells Old Boys,Estudiantes L.P.,1,0,H,2.21,3.17,3.88,2.25,3.25,4.13,2.1,3.06,3.59
Argentina,Superliga ,2012/2013,01/09/2012,23:00,Arsenal Sarandi,Lanus,1,0,H,2.5,3.09,3.32,2.5,3.25,3.5,2.28,3.03,3.2
Argentina,Superliga ,2012/2013,02/09/2012,00:20,Velez Sarsfield,Belgrano,2,1,H,1.7,3.68,6.04,1.9,3.68,6.04,1.75,3.33,4.76
Argentina,Superliga ,2012/2013,02/09/2012,18:10,Tigre,San Lorenzo,1,1,D,2.52,3.22,3.14,2.52,3.35,3.45,2.29,3.07,3.16
Argentina,Superliga ,2012/2013,02/09/2012,20:15,Boca Juniors,Atl. Rafaela,2,1,H,1.65,3.95,6.01,1.65,4.05,6.8,1.59,3.64,5.63
Argentina,Superliga ,2012/2013,02/09/2012,22:15,Godoy Cruz,Independiente,2,1,H,2.06,3.32,4.13,2.15,3.55,4.45,2.03,3.14,3.73
Argentina,Superliga ,2012/2013,03/09/2012,00:15,Colon Santa FE,River Plate,1,1,D,2.54,3.16,3.16,2.7,3.25,3.16,2.48,3.0,2.89
Argentina,Superliga ,2012/2013,03/09/2012,21:10,Quilmes,Argentinos Jrs,0,1,A,2.18,3.39,3.66,2.18,3.4,4.15,2.07,3.15,3.53
Argentina,Superliga ,2012/2013,04/09/2012,00:30,Racing Club,San Martin S.J.,3,1,H,1.9,3.51,4.66,1.94,3.75,6.4,1.77,3.41,4.69
Argentina,Superliga ,2012/2013,08/09/2012,18:00,San Martin S.J.,Arsenal Sarandi,4,0,H,3.37,3.1,2.46,3.9,3.45,2.47,3.17,3.03,2.3
Argentina,Superliga ,2012/2013,08/09/2012,20:10,Atl. Rafaela,All Boys,2,1,H,2.33,3.27,3.45,2.4,3.3,3.45,2.3,3.05,3.16
Argentina,Superliga ,2012/2013,08/09/2012,22:15,Estudiantes L.P.,Velez Sarsfield,0,0,D,3.46,3.19,2.37,3.5,3.25,2.43,3.11,3.05,2.32
Argentina,Superliga ,2012/2013,09/09/2012,00:20,San Lorenzo,Colon Santa FE,2,1,H,2.52,3.3,3.06,2.56,3.3,3.06,2.44,3.04,2.92
Argentina,Superliga ,2012/2013,09/09/2012,20:10,Argentinos Jrs,Boca Juniors,1,1,D,3.07,3.17,2.6,3.4,3.25,2.6,3.13,3.05,2.31
Argentina,Superliga ,2012/2013,09/09/2012,22:00,Belgrano,Racing Club,1,0,H,2.44,3.17,3.33,2.62,3.2,3.35,2.44,3.0,2.97
Argentina,Superliga ,2012/2013,09/09/2012,22:15,Independiente,Quilmes,1,1,D,2.69,3.11,3.01,2.69,3.2,3.2,2.45,2.96,2.96
Argentina,Superliga ,2012/2013,10/09/2012,00:15,River Plate,Newells Old Boys,3,3,D,2.31,3.15,3.64,2.34,3.3,3.76,2.18,3.06,3.4
Argentina,Superliga ,2012/2013,10/09/2012,21:10,Union de Santa Fe,Tigre,1,1,D,2.92,3.26,2.66,3.2,3.3,2.86,2.75,3.02,2.58
Argentina,Superliga ,2012/2013,10/09/2012,23:15,Lanus,Godoy Cruz,2,0,H,2.02,3.38,4.26,2.2,3.38,4.26,2.06,3.15,3.63
Argentina,Superliga ,2012/2013,15/09/2012,18:10,Tigre,Colon Santa FE,2,2,D,2.52,3.3,3.06,2.54,3.3,3.25,2.42,3.04,2.93
Argentina,Superliga ,2012/2013,15/09/2012,20:10,All Boys,Argentinos Jrs,0,1,A,2.38,3.19,3.42,2.52,3.25,3.5,2.28,3.03,3.21
Argentina,Superliga ,2012/2013,15/09/2012,22:10,Godoy Cruz,San Martin S.J.,1,0,H,1.85,3.51,4.99,1.92,3.7,5.09,1.84,3.29,4.32
Argentina,Superliga ,2012/2013,16/09/2012,00:20,Racing Club,Estudiantes L.P.,0,1,A,2.44,3.13,3.38,2.5,3.2,3.55,2.31,3.02,3.19
Argentina,Superliga ,2012/2013,16/09/2012,20:20,Boca Juniors,Independiente,2,1,H,1.78,3.61,5.41,1.79,4.0,6.4,1.68,3.44,5.19
Argentina,Superliga ,2012/2013,16/09/2012,22:15,Newells Old Boys,San Lorenzo,1,0,H,2.04,3.2,4.5,2.09,3.5,4.55,1.99,3.11,3.9
Argentina,Superliga ,2012/2013,16/09/2012,22:20,Arsenal Sarandi,Belgrano,0,2,A,2.31,3.1,3.67,2.36,3.25,3.67,2.23,2.99,3.35
Argentina,Superliga ,2012/2013,17/09/2012,00:30,Velez Sarsfield,River Plate,2,0,H,2.12,3.39,3.85,2.25,3.5,4.0,2.09,3.14,3.5
Argentina,Superliga ,2012/2013,17/09/2012,22:05,Union de Santa Fe,Atl. Rafaela,0,0,D,2.72,3.1,2.98,2.74,3.25,3.14,2.5,2.98,2.88
Argentina,Superliga ,2012/2013,18/09/2012,00:10,Quilmes,Lanus,0,0,D,3.28,3.07,2.52,3.28,3.2,2.75,2.83,2.96,2.57
Argentina,Superliga ,2012/2013,21/09/2012,23:10,Belgrano,Godoy Cruz,1,0,H,2.38,3.05,3.6,2.54,3.25,3.6,2.32,2.94,3.22
Argentina,Superliga ,2012/2013,22/09/2012,01:15,Atl. Rafaela,Tigre,3,0,H,2.49,3.19,3.23,2.8,3.3,3.23,2.52,2.99,2.86
Argentina,Superliga ,2012/2013,22/09/2012,18:00,Argentinos Jrs,Union de Santa Fe,3,3,D,1.93,3.48,4.62,1.93,3.6,5.0,1.85,3.24,4.28
Argentina,Superliga ,2012/2013,22/09/2012,20:10,San Lorenzo,Velez Sarsfield,1,2,A,3.2,3.18,2.5,3.29,3.2,2.58,3.0,3.0,2.41
Argentina,Superliga ,2012/2013,23/09/2012,00:20,Independiente,All Boys,1,1,D,2.54,3.02,3.33,2.54,3.3,3.35,2.39,3.01,3.03
Argentina,Superliga ,2012/2013,23/09/2012,19:10,River Plate,Racing Club,0,1,A,2.21,3.3,3.72,2.25,3.3,3.84,2.18,3.06,3.4
