Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Austria,Tipico Bundesliga,2016/2017,23/07/2016,15:00,Rapid Vienna,Ried,5,0,H,1.37,5.05,10.11,1.45,5.05,10.11,1.38,4.55,8.11
Austria,Tipico Bundesliga,2016/2017,23/07/2016,17:30,Altach,Wolfsberger AC,1,0,H,2.53,3.22,3.14,2.6,3.3,3.14,2.48,3.12,2.9
Austria,Tipico Bundesliga,2016/2017,23/07/2016,17:30,Sturm Graz,Salzburg,3,1,H,3.81,3.74,2.02,4.06,3.82,2.03,3.72,3.52,1.94
Austria,Tipico Bundesliga,2016/2017,24/07/2016,15:30,St. Polten,Austria Vienna,1,2,A,3.82,3.75,2.02,3.95,3.75,2.27,3.5,3.41,2.05
Austria,Tipico Bundesliga,2016/2017,24/07/2016,18:00,Mattersburg,Admira,0,1,A,2.68,3.46,2.75,2.84,3.5,2.96,2.59,3.25,2.68
Austria,Tipico Bundesliga,2016/2017,30/07/2016,15:00,Salzburg,Wolfsberger AC,1,1,D,1.44,4.88,7.94,1.44,5.1,8.92,1.39,4.64,7.5
Austria,Tipico Bundesliga,2016/2017,30/07/2016,17:30,Ried,Sturm Graz,1,0,H,3.62,3.48,2.17,3.65,3.57,2.2,3.39,3.33,2.11
Austria,Tipico Bundesliga,2016/2017,31/07/2016,15:30,Altach,Rapid Vienna,1,0,H,5.72,3.89,1.68,5.8,4.01,1.85,4.9,3.63,1.71
Austria,Tipico Bundesliga,2016/2017,31/07/2016,15:30,Austria Vienna,Mattersburg,3,1,H,1.6,4.39,5.78,1.68,4.96,7.53,1.57,4.16,5.41
Austria,Tipico Bundesliga,2016/2017,31/07/2016,18:00,St. Polten,Admira,2,1,H,2.1,3.41,3.9,2.5,3.46,3.9,2.11,3.3,3.46
Austria,Tipico Bundesliga,2016/2017,06/08/2016,15:00,Mattersburg,Sturm Graz,0,2,A,3.57,3.45,2.2,3.64,3.58,2.22,3.34,3.35,2.13
Austria,Tipico Bundesliga,2016/2017,06/08/2016,17:30,Wolfsberger AC,Ried,1,0,H,1.99,3.43,4.33,2.01,3.56,4.36,1.93,3.36,3.93
Austria,Tipico Bundesliga,2016/2017,06/08/2016,17:30,Admira,Altach,1,2,A,2.37,3.47,3.17,2.54,3.47,3.17,2.34,3.25,3.0
Austria,Tipico Bundesliga,2016/2017,06/08/2016,17:30,Salzburg,St. Polten,2,0,H,1.23,7.15,14.2,1.3,7.33,16.34,1.21,6.24,12.63
Austria,Tipico Bundesliga,2016/2017,07/08/2016,15:30,Austria Vienna,Rapid Vienna,1,4,A,3.21,3.71,2.25,3.21,3.71,2.46,3.02,3.41,2.26
Austria,Tipico Bundesliga,2016/2017,13/08/2016,15:00,Ried,Salzburg,0,2,A,4.63,4.16,1.76,5.5,4.25,1.76,4.77,3.84,1.67
Austria,Tipico Bundesliga,2016/2017,13/08/2016,17:30,Altach,St. Polten,3,1,H,1.83,3.77,4.72,2.0,3.82,4.72,1.83,3.56,4.2
Austria,Tipico Bundesliga,2016/2017,13/08/2016,17:30,Mattersburg,Wolfsberger AC,3,1,H,3.03,3.36,2.52,3.03,3.5,2.77,2.79,3.23,2.51
Austria,Tipico Bundesliga,2016/2017,13/08/2016,17:30,Rapid Vienna,Admira,4,0,H,1.3,5.86,11.74,1.36,5.95,12.0,1.29,5.27,10.19
Austria,Tipico Bundesliga,2016/2017,14/08/2016,15:30,Sturm Graz,Austria Vienna,3,1,H,2.3,3.42,3.36,2.37,3.5,3.43,2.21,3.31,3.2
Austria,Tipico Bundesliga,2016/2017,20/08/2016,15:00,St. Polten,Sturm Graz,1,3,A,4.1,3.6,1.99,4.4,3.67,2.1,3.83,3.42,1.95
Austria,Tipico Bundesliga,2016/2017,20/08/2016,17:30,Admira,Ried,1,0,H,2.37,3.46,3.19,2.48,3.46,3.2,2.32,3.27,3.02
Austria,Tipico Bundesliga,2016/2017,20/08/2016,17:30,Salzburg,Mattersburg,3,1,H,1.38,5.61,8.01,1.41,5.61,13.0,1.35,5.04,7.93
Austria,Tipico Bundesliga,2016/2017,21/08/2016,15:30,Wolfsberger AC,Rapid Vienna,1,1,D,5.29,4.02,1.7,5.29,4.06,1.81,4.73,3.8,1.69
Austria,Tipico Bundesliga,2016/2017,21/08/2016,18:00,Austria Vienna,Altach,3,1,H,2.07,3.65,3.72,2.11,3.78,3.9,2.02,3.47,3.49
Austria,Tipico Bundesliga,2016/2017,27/08/2016,15:00,Sturm Graz,Altach,3,1,H,1.77,3.92,4.89,1.77,3.95,5.4,1.72,3.65,4.71
Austria,Tipico Bundesliga,2016/2017,27/08/2016,17:30,Wolfsberger AC,Admira,5,0,H,2.03,3.52,4.05,2.04,3.62,4.46,1.92,3.41,3.94
Austria,Tipico Bundesliga,2016/2017,27/08/2016,17:30,Mattersburg,St. Polten,1,1,D,2.17,3.63,3.47,2.17,3.63,3.85,2.05,3.4,3.48
Austria,Tipico Bundesliga,2016/2017,28/08/2016,15:30,Rapid Vienna,Salzburg,0,0,D,2.34,3.59,3.14,2.43,3.62,3.3,2.3,3.38,2.98
Austria,Tipico Bundesliga,2016/2017,28/08/2016,18:00,Ried,Austria Vienna,1,1,D,3.33,3.39,2.33,3.36,3.52,2.33,3.12,3.32,2.24
Austria,Tipico Bundesliga,2016/2017,10/09/2016,15:00,Sturm Graz,Rapid Vienna,1,1,D,3.41,3.49,2.24,3.6,3.66,2.6,3.19,3.35,2.2
Austria,Tipico Bundesliga,2016/2017,10/09/2016,17:30,Altach,Mattersburg,2,1,H,1.78,3.85,4.96,1.81,3.97,5.0,1.76,3.64,4.45
Austria,Tipico Bundesliga,2016/2017,10/09/2016,17:30,Austria Vienna,Wolfsberger AC,4,1,H,1.94,3.51,4.45,1.95,3.62,4.65,1.87,3.47,4.13
Austria,Tipico Bundesliga,2016/2017,10/09/2016,17:30,St. Polten,Ried,2,3,A,2.59,3.36,2.93,2.65,3.5,3.04,2.46,3.25,2.83
Austria,Tipico Bundesliga,2016/2017,11/09/2016,15:30,Admira,Salzburg,0,4,A,8.17,5.16,1.41,9.11,5.16,1.6,7.64,4.77,1.38
Austria,Tipico Bundesliga,2016/2017,17/09/2016,15:00,Ried,Altach,2,1,H,2.57,3.22,3.07,2.6,3.4,3.07,2.46,3.17,2.88
Austria,Tipico Bundesliga,2016/2017,17/09/2016,17:30,Wolfsberger AC,St. Polten,1,1,D,1.58,4.27,6.35,1.62,4.33,6.7,1.55,3.94,5.9
Austria,Tipico Bundesliga,2016/2017,17/09/2016,17:30,Admira,Sturm Graz,0,3,A,5.05,3.99,1.74,5.4,4.06,1.85,4.9,3.75,1.67
Austria,Tipico Bundesliga,2016/2017,18/09/2016,15:30,Salzburg,Austria Vienna,4,1,H,1.36,5.71,8.84,1.45,5.95,9.51,1.32,5.29,8.17
Austria,Tipico Bundesliga,2016/2017,18/09/2016,18:00,Rapid Vienna,Mattersburg,3,0,H,1.33,5.98,9.64,1.34,6.1,10.3,1.3,5.43,8.68
Austria,Tipico Bundesliga,2016/2017,24/09/2016,15:00,St. Polten,Rapid Vienna,1,1,D,7.44,5.25,1.43,9.0,5.25,1.53,7.13,4.59,1.41
Austria,Tipico Bundesliga,2016/2017,24/09/2016,17:30,Austria Vienna,Admira,1,2,A,1.51,4.77,6.62,1.53,4.9,6.94,1.48,4.42,6.09
Austria,Tipico Bundesliga,2016/2017,24/09/2016,17:30,Mattersburg,Ried,1,1,D,2.4,3.44,3.14,2.55,3.46,3.14,2.36,3.26,2.94
Austria,Tipico Bundesliga,2016/2017,24/09/2016,17:30,Sturm Graz,Wolfsberger AC,3,0,H,1.59,4.12,6.46,1.7,4.2,7.0,1.59,3.87,5.56
Austria,Tipico Bundesliga,2016/2017,25/09/2016,15:30,Altach,Salzburg,0,0,D,6.62,4.46,1.54,7.0,4.46,1.6,6.04,4.09,1.52
