Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
China,Super League,2018,02/03/2018,11:35,Guangzhou Evergrande,Guangzhou R&F,4,5,A,1.69,4.33,4.73,1.72,4.64,5.25,1.64,4.14,4.54
China,Super League,2018,02/03/2018,11:35,Henan Jianye,Tianjin Quanjian,0,4,A,3.53,3.36,2.21,4.33,3.55,2.21,3.47,3.28,2.07
China,Super League,2018,02/03/2018,11:35,Shanghai Shenhua,Changchun Yatai,1,1,D,2.21,3.51,3.37,2.27,3.58,3.37,2.16,3.35,3.17
China,Super League,2018,03/03/2018,07:30,Chongqing Lifan,Beijing Renhe,1,0,H,2.44,3.24,3.16,2.44,3.3,3.5,2.3,3.13,3.11
China,Super League,2018,03/03/2018,11:35,Shanghai SIPG,Dalian Yifang F.C.,8,0,H,1.33,5.6,9.78,1.36,5.8,10.0,1.31,5.28,8.19
China,Super League,2018,03/03/2018,11:35,Tianjin Teda,Hebei,1,1,D,3.44,3.46,2.2,3.8,3.46,2.3,3.28,3.31,2.14
China,Super League,2018,04/03/2018,07:30,Guizhou Zhicheng,Jiangsu Suning,1,3,A,2.15,3.49,3.54,2.26,3.5,3.54,2.13,3.27,3.26
China,Super League,2018,04/03/2018,11:35,Shandong Luneng,Beijing Guoan,3,0,H,2.3,3.51,3.16,2.31,3.51,3.4,2.17,3.33,3.16
China,Super League,2018,09/03/2018,11:35,Guangzhou Evergrande,Changchun Yatai,5,0,H,1.51,4.48,6.81,1.52,5.15,9.0,1.45,4.47,6.3
China,Super League,2018,10/03/2018,07:30,Tianjin Quanjian,Beijing Renhe,1,2,A,1.62,4.06,5.87,1.66,4.22,6.0,1.59,3.82,5.32
China,Super League,2018,10/03/2018,11:35,Guangzhou R&F,Dalian Yifang F.C.,2,0,H,1.4,5.44,7.24,1.41,6.0,8.25,1.36,5.14,6.91
China,Super League,2018,10/03/2018,11:35,Shandong Luneng,Chongqing Lifan,2,0,H,1.5,4.43,7.03,1.54,4.43,7.5,1.47,4.2,6.27
China,Super League,2018,10/03/2018,11:35,Shanghai Shenhua,Shanghai SIPG,0,2,A,5.38,4.75,1.56,5.6,4.8,1.6,4.97,4.39,1.54
China,Super League,2018,11/03/2018,07:30,Guizhou Zhicheng,Hebei,2,3,A,3.39,3.61,2.16,3.46,3.61,2.38,3.17,3.4,2.14
China,Super League,2018,11/03/2018,11:35,Henan Jianye,Tianjin Teda,1,0,H,2.55,3.17,3.06,2.57,3.39,3.2,2.43,3.12,2.89
China,Super League,2018,11/03/2018,11:35,Jiangsu Suning,Beijing Guoan,1,2,A,2.42,3.37,3.07,2.44,3.45,3.32,2.28,3.26,3.0
China,Super League,2018,16/03/2018,11:35,Dalian Yifang F.C.,Beijing Guoan,0,3,A,2.99,3.46,2.43,3.94,3.78,2.47,2.92,3.36,2.29
China,Super League,2018,17/03/2018,07:30,Hebei,Shandong Luneng,1,2,A,2.36,3.5,3.07,2.44,3.6,3.25,2.31,3.37,2.9
China,Super League,2018,17/03/2018,11:35,Chongqing Lifan,Jiangsu Suning,4,1,H,3.02,3.37,2.46,3.1,3.43,2.46,2.92,3.27,2.34
China,Super League,2018,18/03/2018,07:30,Changchun Yatai,Beijing Renhe,1,1,D,2.16,3.28,3.74,2.18,3.4,3.9,2.07,3.23,3.51
China,Super League,2018,18/03/2018,07:30,Guangzhou R&F,Shanghai SIPG,2,5,A,3.07,4.1,2.15,3.22,4.24,2.17,2.95,3.9,2.08
China,Super League,2018,18/03/2018,11:35,Guangzhou Evergrande,Henan Jianye,1,0,H,1.26,6.56,11.5,1.27,7.1,13.0,1.21,6.27,10.96
China,Super League,2018,18/03/2018,11:35,Guizhou Zhicheng,Shanghai Shenhua,0,1,A,2.26,3.59,3.18,2.33,3.64,3.58,2.14,3.42,3.17
China,Super League,2018,18/03/2018,11:35,Tianjin Teda,Tianjin Quanjian,3,2,H,4.09,3.77,1.9,4.12,3.8,1.96,3.84,3.57,1.87
