Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Denmark,Superliga,2017/2018,14/07/2017,17:00,Aarhus,Horsens,1,2,A,1.6,4.11,6.4,1.67,4.11,7.0,1.58,3.77,5.92
Denmark,Superliga,2017/2018,15/07/2017,15:00,FC Copenhagen,Aalborg,1,1,D,1.62,4.05,6.27,1.67,4.2,7.5,1.59,3.78,5.83
Denmark,Superliga,2017/2018,15/07/2017,17:30,Sonderjyske,Randers FC,0,0,D,2.71,3.33,2.81,2.74,3.33,2.9,2.6,3.16,2.75
Denmark,Superliga,2017/2018,16/07/2017,13:00,Lyngby,Silkeborg,2,1,H,2.16,3.39,3.74,2.2,3.42,3.74,2.11,3.3,3.46
Denmark,Superliga,2017/2018,16/07/2017,15:00,Hobro,Helsingor,2,1,H,2.09,3.38,3.99,2.1,3.5,4.18,1.99,3.33,3.84
Denmark,Superliga,2017/2018,16/07/2017,17:00,Brondby,Midtjylland,4,0,H,2.28,3.63,3.21,2.29,3.66,3.25,2.21,3.49,3.07
Denmark,Superliga,2017/2018,17/07/2017,18:00,Odense,Nordsjaelland,1,2,A,2.12,3.66,3.58,2.17,3.72,3.62,2.07,3.47,3.4
Denmark,Superliga,2017/2018,21/07/2017,18:00,Aarhus,Hobro,2,0,H,1.68,3.99,5.5,1.72,4.0,5.58,1.67,3.78,5.02
Denmark,Superliga,2017/2018,22/07/2017,15:00,Randers FC,FC Copenhagen,0,3,A,3.58,3.26,2.28,3.58,3.26,2.35,3.34,3.11,2.26
Denmark,Superliga,2017/2018,23/07/2017,11:00,Horsens,Lyngby,4,1,H,3.2,3.55,2.32,3.2,3.55,2.5,2.96,3.35,2.33
Denmark,Superliga,2017/2018,23/07/2017,13:00,Aalborg,Sonderjyske,1,4,A,2.05,3.55,3.92,2.07,3.65,4.4,1.96,3.44,3.8
Denmark,Superliga,2017/2018,23/07/2017,15:00,Nordsjaelland,Brondby,3,2,H,3.37,3.7,2.18,3.38,3.72,2.23,3.15,3.53,2.15
Denmark,Superliga,2017/2018,23/07/2017,17:00,Midtjylland,Silkeborg,2,0,H,1.4,5.17,8.7,1.47,5.17,8.7,1.42,4.63,7.06
Denmark,Superliga,2017/2018,24/07/2017,18:00,Helsingor,Odense,0,2,A,3.71,3.4,2.17,3.71,3.4,2.28,3.45,3.29,2.13
Denmark,Superliga,2017/2018,28/07/2017,18:00,Sonderjyske,Helsingor,1,2,A,1.58,4.3,6.29,1.6,4.5,6.5,1.55,4.01,5.95
Denmark,Superliga,2017/2018,29/07/2017,15:00,Odense,Horsens,1,0,H,1.75,3.86,5.11,1.8,3.9,5.2,1.73,3.71,4.6
Denmark,Superliga,2017/2018,29/07/2017,17:00,FC Copenhagen,Hobro,0,0,D,1.39,5.06,9.38,1.42,5.1,9.9,1.37,4.7,8.29
Denmark,Superliga,2017/2018,30/07/2017,13:00,Midtjylland,Randers FC,2,1,H,1.76,3.91,4.95,1.78,4.0,4.96,1.73,3.77,4.53
Denmark,Superliga,2017/2018,30/07/2017,15:00,Nordsjaelland,Aalborg,3,2,H,2.37,3.52,3.13,2.55,3.52,3.2,2.39,3.33,2.87
Denmark,Superliga,2017/2018,30/07/2017,17:00,Brondby,Lyngby,5,3,H,1.49,4.89,7.23,1.5,4.98,7.6,1.45,4.53,6.48
Denmark,Superliga,2017/2018,31/07/2017,18:00,Silkeborg,Aarhus,2,1,H,3.6,3.72,2.09,3.67,3.72,2.25,3.47,3.47,2.05
Denmark,Superliga,2017/2018,04/08/2017,18:00,Horsens,Silkeborg,1,0,H,2.33,3.43,3.28,2.4,3.54,3.4,2.28,3.32,3.08
Denmark,Superliga,2017/2018,05/08/2017,15:00,Hobro,Randers FC,2,0,H,2.83,3.24,2.76,2.9,3.25,2.76,2.75,3.12,2.61
Denmark,Superliga,2017/2018,06/08/2017,11:00,Lyngby,Nordsjaelland,1,4,A,2.56,3.64,2.78,2.6,3.7,2.87,2.48,3.43,2.7
Denmark,Superliga,2017/2018,06/08/2017,13:00,Helsingor,Midtjylland,2,1,H,5.29,4.29,1.66,5.5,4.33,1.67,5.05,4.04,1.62
Denmark,Superliga,2017/2018,06/08/2017,15:00,Odense,Aalborg,0,0,D,2.23,3.43,3.5,2.3,3.45,3.5,2.18,3.31,3.29
Denmark,Superliga,2017/2018,06/08/2017,17:00,Brondby,FC Copenhagen,1,0,H,2.35,3.54,3.15,2.41,3.6,3.2,2.3,3.36,3.0
Denmark,Superliga,2017/2018,07/08/2017,18:00,Sonderjyske,Aarhus,3,0,H,2.98,3.38,2.54,3.0,3.55,2.55,2.82,3.33,2.43
Denmark,Superliga,2017/2018,11/08/2017,18:00,Silkeborg,Helsingor,4,1,H,2.22,3.52,3.45,2.24,3.56,3.7,2.09,3.4,3.43
Denmark,Superliga,2017/2018,12/08/2017,15:00,Lyngby,Sonderjyske,1,1,D,2.3,3.55,3.24,2.45,3.65,3.28,2.28,3.4,3.0
Denmark,Superliga,2017/2018,12/08/2017,17:30,FC Copenhagen,Horsens,1,1,D,1.38,5.03,9.84,1.41,5.03,10.0,1.36,4.7,8.71
Denmark,Superliga,2017/2018,13/08/2017,12:00,Midtjylland,Nordsjaelland,4,3,H,1.68,4.14,5.25,1.8,4.3,5.25,1.69,4.02,4.49
Denmark,Superliga,2017/2018,13/08/2017,15:00,Randers FC,Brondby,0,0,D,4.21,3.57,1.97,4.25,3.7,1.97,3.95,3.47,1.91
