Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Ireland,Premier Division ,2015,06/03/2015,19:45,Dundalk,Longford,1,0,H,1.38,5.01,9.74,1.42,5.01,9.74,1.38,4.48,7.9
Ireland,Premier Division ,2015,06/03/2015,19:45,Galway,Derry City,1,2,A,2.5,3.28,3.13,2.5,3.28,3.3,2.39,3.13,2.93
Ireland,Premier Division ,2015,06/03/2015,19:45,Shamrock Rovers,St. Patricks,1,0,H,3.07,3.2,2.59,3.07,3.25,2.7,2.81,3.06,2.53
Ireland,Premier Division ,2015,07/03/2015,17:45,Bray,Drogheda,0,1,A,2.72,3.19,2.91,2.72,3.3,3.05,2.47,3.13,2.81
Ireland,Premier Division ,2015,07/03/2015,18:30,Limerick,Bohemians,0,3,A,3.45,3.29,2.32,3.5,3.35,2.32,3.21,3.15,2.23
Ireland,Premier Division ,2015,07/03/2015,19:45,Sligo Rovers,Cork City,1,1,D,2.45,3.2,3.29,2.45,3.35,3.35,2.26,3.14,3.14
Ireland,Premier Division ,2015,13/03/2015,19:45,Bohemians,Galway,2,0,H,1.83,3.52,5.11,1.99,3.6,5.11,1.83,3.32,4.35
Ireland,Premier Division ,2015,13/03/2015,19:45,Cork City,Limerick,5,0,H,1.37,4.99,10.54,1.4,5.1,11.0,1.34,4.61,8.6
Ireland,Premier Division ,2015,13/03/2015,19:45,Derry City,Dundalk,0,1,A,4.1,3.3,2.09,4.14,3.5,2.2,3.75,3.22,2.0
Ireland,Premier Division ,2015,13/03/2015,19:45,Drogheda,Sligo Rovers,3,2,H,4.68,3.81,1.82,4.75,3.81,1.88,4.44,3.42,1.79
Ireland,Premier Division ,2015,13/03/2015,19:45,St. Patricks,Bray,3,0,H,1.26,6.28,14.03,1.26,6.5,15.81,1.23,5.63,12.26
Ireland,Premier Division ,2015,14/03/2015,19:30,Longford,Shamrock Rovers,0,2,A,4.95,3.48,1.88,4.95,3.5,2.0,4.06,3.29,1.9
Ireland,Premier Division ,2015,20/03/2015,19:45,Dundalk,St. Patricks,3,0,H,2.05,3.49,4.0,2.3,3.5,4.02,2.09,3.22,3.49
Ireland,Premier Division ,2015,20/03/2015,19:45,Galway,Drogheda,1,0,H,2.57,3.33,2.98,2.62,3.33,3.05,2.43,3.13,2.87
Ireland,Premier Division ,2015,20/03/2015,20:00,Shamrock Rovers,Cork City,0,0,D,2.26,3.23,3.67,2.27,3.45,3.67,2.15,3.16,3.35
Ireland,Premier Division ,2015,21/03/2015,17:45,Bray,Bohemians,0,1,A,6.1,3.71,1.69,6.1,3.71,1.9,4.8,3.46,1.73
Ireland,Premier Division ,2015,21/03/2015,18:30,Limerick,Longford,2,2,D,5.33,3.53,1.81,5.33,3.6,1.95,4.36,3.35,1.82
Ireland,Premier Division ,2015,21/03/2015,19:45,Sligo Rovers,Derry City,1,1,D,1.93,3.54,4.49,2.02,3.6,4.98,1.8,3.37,4.47
Ireland,Premier Division ,2015,24/03/2015,19:45,Bohemians,Dundalk,0,3,A,4.9,3.49,1.88,4.9,3.6,1.92,4.3,3.32,1.85
