Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Japan,J-League,2014,01/03/2014,05:00,C-Osaka,Hiroshima,0,1,A,2.41,3.39,3.16,2.41,3.45,3.25,2.28,3.21,3.0
Japan,J-League,2014,01/03/2014,05:00,Kofu,Kashima,0,4,A,3.46,3.39,2.27,3.8,3.55,2.3,3.47,3.25,2.06
Japan,J-League,2014,01/03/2014,05:00,Nagoya,Shimizu,2,3,A,2.31,3.61,3.18,2.31,3.61,3.3,2.19,3.35,3.04
Japan,J-League,2014,01/03/2014,05:00,Sagan Tosu,Tokushima,5,0,H,1.61,4.18,5.85,1.67,4.18,6.0,1.59,3.9,5.1
Japan,J-League,2014,01/03/2014,05:00,Vegalta Sendai,Albirex Niigata,1,2,A,2.76,3.52,2.66,2.76,3.52,2.9,2.52,3.2,2.68
Japan,J-League,2014,01/03/2014,06:00,Kashiwa,FC Tokyo,1,1,D,2.36,3.63,3.01,2.46,3.63,3.3,2.25,3.26,3.0
Japan,J-League,2014,01/03/2014,10:00,G-Osaka,Urawa,0,1,A,2.84,3.58,2.54,2.84,3.7,2.58,2.67,3.36,2.43
Japan,J-League,2014,02/03/2014,04:00,Yokohama M.,Omiya Ardija,2,0,H,1.85,3.75,4.63,1.85,3.85,5.0,1.73,3.54,4.53
Japan,J-League,2014,02/03/2014,07:00,Kawasaki Frontale,Kobe,2,2,D,1.76,4.01,4.88,1.83,4.01,4.88,1.76,3.66,4.14
Japan,J-League,2014,08/03/2014,03:30,Hiroshima,Kawasaki Frontale,2,1,H,2.13,3.75,3.47,2.13,4.05,3.95,2.05,3.47,3.36
Japan,J-League,2014,08/03/2014,04:00,Albirex Niigata,G-Osaka,0,2,A,2.41,3.56,3.03,2.42,3.6,3.15,2.31,3.31,2.91
Japan,J-League,2014,08/03/2014,05:00,Tokushima,C-Osaka,0,2,A,7.2,4.4,1.52,7.5,4.4,1.6,6.53,3.98,1.49
Japan,J-League,2014,08/03/2014,06:00,FC Tokyo,Kofu,1,1,D,1.66,3.94,5.91,1.67,4.0,6.0,1.62,3.66,5.37
Japan,J-League,2014,08/03/2014,06:00,Kobe,Kashiwa,1,1,D,2.73,3.72,2.58,2.9,3.72,2.58,2.71,3.36,2.42
Japan,J-League,2014,08/03/2014,06:00,Omiya Ardija,Nagoya,1,2,A,2.98,3.62,2.42,2.98,3.62,2.58,2.76,3.3,2.42
Japan,J-League,2014,08/03/2014,06:00,Shimizu,Yokohama M.,0,1,A,3.41,3.51,2.24,3.45,3.55,2.45,3.09,3.28,2.23
Japan,J-League,2014,08/03/2014,07:00,Urawa,Sagan Tosu,0,1,A,1.99,3.8,3.86,1.99,3.9,4.5,1.82,3.6,4.02
Japan,J-League,2014,08/03/2014,10:00,Kashima,Vegalta Sendai,2,0,H,2.05,3.46,4.05,2.06,3.65,4.25,1.93,3.4,3.78
Japan,J-League,2014,15/03/2014,04:00,Yokohama M.,Tokushima,3,0,H,1.3,5.54,13.32,1.33,5.6,13.32,1.29,5.06,9.93
Japan,J-League,2014,15/03/2014,05:00,Hiroshima,Urawa,0,2,A,2.3,3.59,3.21,2.4,3.7,3.25,2.29,3.31,2.94
Japan,J-League,2014,15/03/2014,05:00,Kofu,Albirex Niigata,1,1,D,3.59,3.21,2.3,3.59,3.4,2.4,3.19,3.13,2.25
Japan,J-League,2014,15/03/2014,06:00,C-Osaka,Shimizu,4,1,H,1.94,3.72,4.15,1.97,3.72,4.2,1.9,3.41,3.86
Japan,J-League,2014,15/03/2014,06:00,Kashiwa,Nagoya,0,1,A,2.03,3.76,3.76,2.11,3.76,3.95,1.96,3.45,3.57
Japan,J-League,2014,15/03/2014,06:00,Kawasaki Frontale,Omiya Ardija,3,4,A,1.72,4.08,5.04,1.77,4.08,5.1,1.73,3.62,4.49
Japan,J-League,2014,15/03/2014,06:00,Sagan Tosu,Kashima,0,3,A,2.62,3.55,2.77,2.62,3.62,2.95,2.43,3.3,2.76
Japan,J-League,2014,15/03/2014,08:00,Vegalta Sendai,G-Osaka,0,0,D,2.66,3.47,2.78,2.66,3.55,2.78,2.54,3.25,2.65
Japan,J-League,2014,15/03/2014,10:00,Kobe,FC Tokyo,2,1,H,3.45,3.51,2.22,3.45,3.7,2.3,3.12,3.34,2.18
Japan,J-League,2014,23/03/2014,04:00,Albirex Niigata,Sagan Tosu,1,0,H,2.34,3.62,3.11,2.36,3.62,3.25,2.25,3.31,3.01
Japan,J-League,2014,23/03/2014,05:00,Kofu,Yokohama M.,1,0,H,3.97,3.19,2.18,4.05,3.35,2.18,3.66,3.18,2.04
Japan,J-League,2014,23/03/2014,05:00,Tokushima,Kashiwa,0,2,A,7.24,4.57,1.5,7.5,4.65,1.53,6.64,4.06,1.47
Japan,J-League,2014,23/03/2014,06:00,Kashima,C-Osaka,0,2,A,2.35,3.64,3.06,2.38,3.65,3.13,2.27,3.34,2.94
Japan,J-League,2014,23/03/2014,06:00,Nagoya,Kobe,2,1,H,2.42,3.57,3.02,2.42,3.7,3.55,2.14,3.36,3.21
Japan,J-League,2014,23/03/2014,06:00,Omiya Ardija,Vegalta Sendai,4,0,H,2.77,3.38,2.72,2.77,3.39,2.82,2.61,3.17,2.63
Japan,J-League,2014,23/03/2014,06:00,Urawa,Shimizu,1,1,D,1.83,3.83,4.64,1.83,3.83,4.66,1.76,3.6,4.32
Japan,J-League,2014,23/03/2014,07:00,G-Osaka,Hiroshima,1,1,D,3.05,3.5,2.43,3.05,3.5,2.6,2.78,3.22,2.44
