Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2013/2014,20/07/2013,01:30,Queretaro,Monarcas,1,3,A,2.93,3.39,2.56,3.17,3.39,2.73,2.84,3.14,2.44
Mexico,Liga MX,2013/2014,20/07/2013,03:30,Club Tijuana,Atlas,3,3,D,1.93,3.43,4.63,2.06,3.5,4.63,1.87,3.22,4.23
Mexico,Liga MX,2013/2014,20/07/2013,23:00,Cruz Azul,Monterrey,1,0,H,2.02,3.56,4.0,2.02,3.6,4.5,1.92,3.33,3.78
Mexico,Liga MX,2013/2014,21/07/2013,01:00,Veracruz,Chiapas,2,2,D,2.11,3.47,3.78,2.16,3.47,3.9,2.08,3.24,3.48
Mexico,Liga MX,2013/2014,21/07/2013,02:06,Club Leon,Atlante,1,0,H,1.56,4.09,7.07,1.83,4.09,7.07,1.64,3.62,5.25
Mexico,Liga MX,2013/2014,21/07/2013,18:00,Puebla,U.N.A.M.- Pumas,1,1,D,3.08,3.29,2.52,3.2,3.34,2.54,2.88,3.13,2.4
Mexico,Liga MX,2013/2014,21/07/2013,18:00,Toluca,Pachuca,0,1,A,2.41,3.3,3.24,2.41,3.3,3.3,2.25,3.13,3.14
Mexico,Liga MX,2013/2014,27/07/2013,01:30,Monarcas,Toluca,3,4,A,1.79,3.61,5.23,1.85,3.75,5.5,1.75,3.42,4.6
Mexico,Liga MX,2013/2014,27/07/2013,03:30,Santos Laguna,Cruz Azul,3,2,H,3.07,3.34,2.5,3.07,3.34,3.0,2.67,3.16,2.58
Mexico,Liga MX,2013/2014,28/07/2013,01:00,Atlante,Veracruz,2,4,A,2.27,3.29,3.56,2.27,3.34,3.7,2.13,3.21,3.31
Mexico,Liga MX,2013/2014,28/07/2013,01:00,Monterrey,Puebla,1,1,D,1.62,4.01,6.33,1.65,4.04,6.5,1.57,3.74,5.67
Mexico,Liga MX,2013/2014,28/07/2013,01:00,Pachuca,U.A.N.L.- Tigres,2,1,H,2.94,3.24,2.65,2.94,3.3,2.85,2.63,3.09,2.63
Mexico,Liga MX,2013/2014,28/07/2013,03:00,Atlas,Club Leon,1,2,A,3.01,3.35,2.52,3.2,3.35,2.76,2.78,3.18,2.47
Mexico,Liga MX,2013/2014,28/07/2013,03:00,Chiapas,Guadalajara Chivas,1,1,D,2.62,3.35,2.9,2.62,3.35,2.98,2.45,3.14,2.81
Mexico,Liga MX,2013/2014,28/07/2013,18:00,U.N.A.M.- Pumas,Queretaro,0,3,A,1.85,3.53,4.98,1.85,4.0,5.09,1.73,3.41,4.7
Mexico,Liga MX,2013/2014,31/07/2013,01:00,Cruz Azul,Chiapas,1,1,D,1.49,4.62,7.28,1.55,4.7,7.5,1.46,4.18,6.37
Mexico,Liga MX,2013/2014,31/07/2013,02:00,Atlante,Atlas,1,1,D,2.31,3.36,3.37,2.5,3.36,3.37,2.27,3.19,3.02
Mexico,Liga MX,2013/2014,31/07/2013,03:30,Club Tijuana,Pachuca,1,0,H,1.87,3.77,4.44,2.1,3.77,4.45,1.92,3.37,3.79
Mexico,Liga MX,2013/2014,01/08/2013,00:00,Guadalajara Chivas,Veracruz,0,2,A,1.79,3.77,4.92,1.83,3.77,4.92,1.76,3.54,4.35
Mexico,Liga MX,2013/2014,01/08/2013,02:00,Puebla,Santos Laguna,1,1,D,2.74,3.31,2.79,2.75,3.36,2.79,2.61,3.15,2.61
Mexico,Liga MX,2013/2014,01/08/2013,02:00,Queretaro,Monterrey,3,3,D,2.97,3.42,2.52,2.99,3.42,2.54,2.84,3.19,2.4
Mexico,Liga MX,2013/2014,01/08/2013,02:00,Toluca,U.N.A.M.- Pumas,0,0,D,2.12,3.29,3.96,2.12,3.4,3.96,2.05,3.18,3.55
Mexico,Liga MX,2013/2014,01/08/2013,02:45,U.A.N.L.- Tigres,Monarcas,1,2,A,1.74,3.8,5.33,2.0,3.8,5.33,1.79,3.44,4.36
Mexico,Liga MX,2013/2014,01/08/2013,03:00,Club Leon,Club America,1,1,D,2.54,3.34,3.0,2.54,3.34,3.13,2.38,3.14,2.91
Mexico,Liga MX,2013/2014,03/08/2013,23:00,Club America,Atlas,3,0,H,1.51,4.5,7.23,1.57,4.5,7.23,1.51,3.87,6.25
Mexico,Liga MX,2013/2014,03/08/2013,23:00,Veracruz,Cruz Azul,3,2,H,3.31,3.38,2.33,3.4,3.4,2.38,3.06,3.21,2.26
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Monarcas,Club Tijuana,2,1,H,2.11,3.39,3.88,2.12,3.43,4.0,2.03,3.25,3.55
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Monterrey,Toluca,1,1,D,1.73,3.92,5.2,1.76,3.92,5.5,1.7,3.58,4.68
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Pachuca,Club Leon,1,1,D,2.71,3.36,2.79,2.78,3.38,2.79,2.6,3.16,2.63
Mexico,Liga MX,2013/2014,04/08/2013,01:00,Santos Laguna,Queretaro,2,0,H,2.04,3.53,3.98,2.06,3.81,4.93,1.87,3.46,3.94
Mexico,Liga MX,2013/2014,04/08/2013,03:00,Chiapas,Puebla,4,2,H,2.24,3.43,3.47,2.25,3.43,3.55,2.16,3.21,3.26
Mexico,Liga MX,2013/2014,04/08/2013,18:00,U.N.A.M.- Pumas,U.A.N.L.- Tigres,0,2,A,3.2,3.3,2.44,3.2,3.4,2.52,2.86,3.12,2.42
Mexico,Liga MX,2013/2014,04/08/2013,23:00,Guadalajara Chivas,Atlante,1,0,H,1.82,3.72,4.8,1.85,3.72,4.95,1.77,3.5,4.35
Mexico,Liga MX,2013/2014,10/08/2013,01:30,Queretaro,Chiapas,1,1,D,2.35,3.4,3.26,2.37,3.4,3.42,2.17,3.21,3.21
Mexico,Liga MX,2013/2014,10/08/2013,03:30,Club Tijuana,U.N.A.M.- Pumas,2,0,H,1.74,3.62,5.74,1.85,3.65,5.75,1.72,3.47,4.71
Mexico,Liga MX,2013/2014,10/08/2013,23:00,Cruz Azul,Guadalajara Chivas,3,1,H,2.12,3.43,3.8,2.13,3.65,5.23,1.9,3.33,4.0
Mexico,Liga MX,2013/2014,11/08/2013,01:00,Atlante,Club America,2,4,A,4.59,3.84,1.83,4.95,3.85,1.87,4.23,3.5,1.79
Mexico,Liga MX,2013/2014,11/08/2013,01:00,U.A.N.L.- Tigres,Monterrey,3,1,H,1.81,3.7,4.79,1.95,3.7,5.0,1.82,3.41,4.17
Mexico,Liga MX,2013/2014,11/08/2013,02:06,Club Leon,Monarcas,0,0,D,1.92,3.77,4.19,2.04,3.77,4.19,1.96,3.37,3.65
Mexico,Liga MX,2013/2014,11/08/2013,03:00,Atlas,Pachuca,1,1,D,2.65,3.2,3.0,2.68,3.2,3.07,2.43,3.08,2.89
Mexico,Liga MX,2013/2014,11/08/2013,18:00,Puebla,Veracruz,0,0,D,2.4,3.42,3.16,2.54,3.42,3.16,2.32,3.2,2.94
Mexico,Liga MX,2013/2014,11/08/2013,18:00,Toluca,Santos Laguna,2,2,D,2.04,3.6,3.91,2.23,3.6,3.91,2.01,3.34,3.48
Mexico,Liga MX,2013/2014,17/08/2013,01:30,Monarcas,Atlas,2,0,H,1.86,3.82,4.42,1.86,3.82,5.14,1.74,3.54,4.46
Mexico,Liga MX,2013/2014,17/08/2013,03:30,Santos Laguna,U.A.N.L.- Tigres,3,0,H,2.88,3.38,2.62,3.05,3.39,2.63,2.76,3.18,2.47
Mexico,Liga MX,2013/2014,17/08/2013,23:00,Cruz Azul,Atlante,1,0,H,1.5,4.73,6.79,1.5,4.73,7.5,1.47,4.04,6.6
Mexico,Liga MX,2013/2014,17/08/2013,23:00,Veracruz,Queretaro,0,0,D,2.18,3.4,3.69,2.18,3.5,4.33,1.95,3.35,3.73
Mexico,Liga MX,2013/2014,18/08/2013,01:00,Monterrey,Club Tijuana,2,1,H,2.0,3.49,4.13,2.1,3.49,4.13,2.03,3.27,3.55
Mexico,Liga MX,2013/2014,18/08/2013,01:00,Pachuca,Club America,0,1,A,3.74,3.55,2.08,3.74,3.58,2.29,3.28,3.33,2.1
Mexico,Liga MX,2013/2014,18/08/2013,03:00,Chiapas,Toluca,0,4,A,2.38,3.38,3.24,2.45,3.4,3.24,2.31,3.2,2.98
Mexico,Liga MX,2013/2014,18/08/2013,18:00,U.N.A.M.- Pumas,Club Leon,1,1,D,3.15,3.31,2.47,3.15,3.31,2.7,2.85,3.05,2.49
Mexico,Liga MX,2013/2014,18/08/2013,23:00,Guadalajara Chivas,Puebla,2,4,A,2.0,3.53,4.13,2.06,3.53,4.5,1.9,3.35,3.93
Mexico,Liga MX,2013/2014,24/08/2013,01:30,Queretaro,Guadalajara Chivas,2,0,H,2.37,3.4,3.22,2.45,3.4,3.25,2.35,3.16,2.96
Mexico,Liga MX,2013/2014,24/08/2013,03:30,Club Tijuana,Santos Laguna,1,1,D,2.1,3.48,3.83,2.17,3.55,3.85,2.04,3.31,3.47
Mexico,Liga MX,2013/2014,24/08/2013,23:00,Club America,Monarcas,3,1,H,1.83,3.86,4.54,1.83,3.86,5.25,1.74,3.45,4.61
Mexico,Liga MX,2013/2014,25/08/2013,01:00,Atlante,Pachuca,1,1,D,2.45,3.33,3.14,2.8,3.33,3.19,2.46,3.11,2.84
Mexico,Liga MX,2013/2014,25/08/2013,01:00,U.A.N.L.- Tigres,Chiapas,2,2,D,1.47,4.5,8.32,1.6,4.5,8.5,1.49,3.81,7.01
Mexico,Liga MX,2013/2014,25/08/2013,02:06,Club Leon,Monterrey,3,1,H,1.84,3.64,4.84,1.91,3.64,4.84,1.81,3.43,4.22
Mexico,Liga MX,2013/2014,25/08/2013,03:00,Atlas,U.N.A.M.- Pumas,1,1,D,2.16,3.3,3.78,2.21,3.3,3.8,2.13,3.13,3.42
Mexico,Liga MX,2013/2014,25/08/2013,18:00,Puebla,Cruz Azul,1,2,A,2.76,3.41,2.7,3.15,3.41,2.7,2.88,3.18,2.37
Mexico,Liga MX,2013/2014,25/08/2013,18:00,Toluca,Veracruz,3,1,H,1.85,3.67,4.63,1.85,3.67,4.7,1.79,3.39,4.37
Mexico,Liga MX,2013/2014,31/08/2013,01:30,Monarcas,Pachuca,4,1,H,1.86,3.68,4.59,1.9,3.68,4.75,1.83,3.4,4.12
Mexico,Liga MX,2013/2014,31/08/2013,03:30,Santos Laguna,Club Leon,0,2,A,2.37,3.29,3.34,2.48,3.3,3.34,2.34,3.15,2.98
Mexico,Liga MX,2013/2014,31/08/2013,22:00,Cruz Azul,Queretaro,0,2,A,1.66,3.95,5.74,1.72,3.8,6.0,1.62,3.6,5.16
Mexico,Liga MX,2013/2014,31/08/2013,23:00,Veracruz,U.A.N.L.- Tigres,1,1,D,3.02,3.43,2.49,3.02,3.43,2.5,2.87,3.21,2.37
