Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Russia,Premier League,2016/2017,30/07/2016,15:30,Zenit,Lokomotiv Moscow,0,0,D,1.83,3.57,5.09,1.84,3.88,5.7,1.77,3.49,4.67
Russia,Premier League,2016/2017,30/07/2016,18:00,FK Anzi Makhackala,CSKA Moscow,0,0,D,5.72,3.69,1.72,6.0,3.75,1.79,5.17,3.51,1.7
Russia,Premier League,2016/2017,30/07/2016,19:30,FK Rostov,Orenburg,1,0,H,1.99,3.31,4.56,2.02,3.58,5.0,1.9,3.21,4.32
Russia,Premier League,2016/2017,31/07/2016,13:30,Ural,Ufa,2,0,H,2.31,3.14,3.65,2.43,3.15,3.9,2.29,2.98,3.36
Russia,Premier League,2016/2017,31/07/2016,16:00,Spartak Moscow,Arsenal Tula,4,0,H,1.51,4.39,7.47,1.56,4.46,7.6,1.51,4.03,6.43
Russia,Premier League,2016/2017,31/07/2016,18:30,Akhmat Grozny,FK Krylya Sovetov Samara,1,0,H,2.03,3.16,4.62,2.05,3.45,5.95,1.92,3.13,4.45
Russia,Premier League,2016/2017,01/08/2016,17:30,Krasnodar,Tomsk,3,0,H,1.4,4.98,9.25,1.4,5.6,13.0,1.33,4.82,9.04
Russia,Premier League,2016/2017,01/08/2016,17:30,Rubin Kazan,Amkar,0,0,D,1.88,3.35,5.14,1.96,3.45,5.7,1.82,3.23,4.77
Russia,Premier League,2016/2017,06/08/2016,15:00,Ufa,Zenit,0,0,D,8.67,4.51,1.45,10.0,4.95,1.53,7.51,4.08,1.45
Russia,Premier League,2016/2017,06/08/2016,17:30,Arsenal Tula,Rubin Kazan,1,0,H,3.62,3.28,2.25,4.25,3.3,2.32,3.36,3.17,2.2
Russia,Premier League,2016/2017,07/08/2016,14:00,Orenburg,CSKA Moscow,0,1,A,6.58,3.7,1.66,6.61,3.85,1.7,5.69,3.59,1.64
Russia,Premier League,2016/2017,07/08/2016,14:30,Amkar,FK Anzi Makhackala,2,0,H,2.01,3.23,4.59,2.2,3.23,4.65,1.99,3.06,4.16
Russia,Premier League,2016/2017,07/08/2016,17:00,Lokomotiv Moscow,Tomsk,2,2,D,1.49,4.18,8.92,1.51,4.25,10.0,1.44,3.98,8.06
Russia,Premier League,2016/2017,07/08/2016,19:30,FK Rostov,Ural,0,0,D,1.81,3.29,5.94,1.95,3.35,5.94,1.81,3.2,5.0
Russia,Premier League,2016/2017,08/08/2016,17:30,Krasnodar,Akhmat Grozny,4,0,H,1.6,3.9,6.9,1.66,3.97,7.4,1.58,3.69,6.11
Russia,Premier League,2016/2017,08/08/2016,17:30,Spartak Moscow,FK Krylya Sovetov Samara,1,0,H,1.5,4.41,7.72,1.54,4.7,8.5,1.46,4.21,6.98
Russia,Premier League,2016/2017,12/08/2016,17:30,Zenit,FK Rostov,3,2,H,1.48,4.23,8.77,1.51,4.6,9.31,1.46,4.02,7.59
Russia,Premier League,2016/2017,13/08/2016,13:30,Ural,CSKA Moscow,0,1,A,4.83,3.45,1.89,4.95,3.6,2.06,4.13,3.27,1.92
Russia,Premier League,2016/2017,13/08/2016,16:00,FK Krylya Sovetov Samara,Krasnodar,1,1,D,6.73,3.69,1.65,7.5,3.79,1.7,5.89,3.59,1.62
Russia,Premier League,2016/2017,13/08/2016,18:30,Rubin Kazan,Spartak Moscow,1,1,D,2.98,3.41,2.52,3.06,3.41,2.6,2.84,3.21,2.47
Russia,Premier League,2016/2017,14/08/2016,13:30,Tomsk,Ufa,1,0,H,2.33,3.01,3.79,2.35,3.1,4.06,2.26,2.92,3.52
Russia,Premier League,2016/2017,14/08/2016,18:00,FK Anzi Makhackala,Arsenal Tula,1,0,H,2.33,3.1,3.65,2.37,3.12,3.75,2.23,3.01,3.47
Russia,Premier League,2016/2017,14/08/2016,18:30,Akhmat Grozny,Lokomotiv Moscow,1,1,D,2.54,3.01,3.35,2.62,3.1,3.46,2.45,2.93,3.13
Russia,Premier League,2016/2017,15/08/2016,15:30,Orenburg,Amkar,0,0,D,2.85,2.85,3.09,2.95,2.9,3.17,2.72,2.77,2.95
Russia,Premier League,2016/2017,19/08/2016,17:30,Rubin Kazan,FK Anzi Makhackala,1,2,A,1.67,3.7,6.45,1.76,3.8,6.6,1.66,3.48,5.72
Russia,Premier League,2016/2017,20/08/2016,12:30,Ufa,Akhmat Grozny,1,3,A,3.34,2.85,2.67,3.34,3.0,2.77,3.11,2.8,2.56
Russia,Premier League,2016/2017,20/08/2016,15:00,Zenit,CSKA Moscow,1,1,D,2.29,3.26,3.56,2.43,3.32,3.75,2.18,3.18,3.38
Russia,Premier League,2016/2017,20/08/2016,19:30,FK Rostov,Tomsk,3,0,H,2.08,3.09,4.54,2.2,3.2,4.65,2.03,3.02,4.11
Russia,Premier League,2016/2017,21/08/2016,13:30,Amkar,Ural,1,0,H,2.2,3.04,4.15,2.31,3.1,4.15,2.15,2.96,3.78
Russia,Premier League,2016/2017,21/08/2016,16:00,Spartak Moscow,Krasnodar,2,0,H,2.48,3.64,2.84,2.72,3.64,3.05,2.42,3.43,2.74
Russia,Premier League,2016/2017,21/08/2016,18:30,Lokomotiv Moscow,FK Krylya Sovetov Samara,0,0,D,1.58,3.75,7.94,1.68,3.82,7.94,1.56,3.62,6.65
Russia,Premier League,2016/2017,22/08/2016,17:30,Arsenal Tula,Orenburg,0,0,D,2.88,2.86,3.05,2.88,3.0,3.3,2.58,2.84,3.04
Russia,Premier League,2016/2017,26/08/2016,16:30,FK Krylya Sovetov Samara,Ufa,0,1,A,2.2,3.02,4.12,2.23,3.03,4.9,2.1,2.93,3.99
Russia,Premier League,2016/2017,27/08/2016,11:00,Orenburg,Rubin Kazan,1,1,D,2.95,2.89,2.93,3.12,3.0,2.93,2.86,2.85,2.71
Russia,Premier League,2016/2017,27/08/2016,13:30,Tomsk,CSKA Moscow,0,1,A,5.07,3.7,1.69,6.6,3.9,1.72,5.45,3.55,1.66
