Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Sweden,Allsvenskan,2015,04/04/2015,13:00,Hammarby,Hacken,2,0,H,2.45,3.57,2.97,2.62,3.57,3.0,2.42,3.33,2.82
Sweden,Allsvenskan,2015,04/04/2015,15:00,Kalmar,Helsingborg,0,0,D,2.08,3.52,3.84,2.21,3.52,3.92,2.07,3.34,3.52
Sweden,Allsvenskan,2015,05/04/2015,14:00,Falkenbergs,Gefle,0,2,A,2.04,3.53,3.95,2.2,3.53,4.0,2.07,3.3,3.54
Sweden,Allsvenskan,2015,05/04/2015,14:00,Goteborg,Atvidabergs,1,0,H,1.37,4.89,10.79,1.4,5.6,10.79,1.35,4.73,8.74
Sweden,Allsvenskan,2015,05/04/2015,16:30,Djurgarden,Elfsborg,1,2,A,2.78,3.26,2.79,2.82,3.3,3.02,2.71,3.14,2.64
Sweden,Allsvenskan,2015,05/04/2015,16:30,Norrkoping,Orebro,1,1,D,2.4,3.51,3.1,2.4,3.51,3.2,2.28,3.31,3.06
Sweden,Allsvenskan,2015,06/04/2015,14:00,AIK,Halmstad,2,1,H,1.56,4.21,6.77,1.6,4.55,7.0,1.52,4.03,6.13
Sweden,Allsvenskan,2015,06/04/2015,16:30,Sundsvall,Malmo FF,1,4,A,6.22,4.06,1.63,6.22,4.2,1.63,5.66,3.84,1.59
Sweden,Allsvenskan,2015,08/04/2015,18:00,Gefle,Kalmar,2,0,H,3.03,3.28,2.56,3.3,3.3,2.65,2.84,3.15,2.5
Sweden,Allsvenskan,2015,08/04/2015,18:00,Helsingborg,Falkenbergs,0,0,D,1.7,3.95,5.39,1.7,3.95,6.1,1.65,3.77,5.17
Sweden,Allsvenskan,2015,08/04/2015,18:00,Orebro,Goteborg,0,2,A,3.6,3.43,2.18,3.66,3.46,2.35,3.28,3.28,2.19
Sweden,Allsvenskan,2015,08/04/2015,18:05,Elfsborg,Hammarby,1,1,D,1.58,4.14,6.56,1.6,4.5,6.56,1.56,3.96,5.72
Sweden,Allsvenskan,2015,09/04/2015,18:00,Atvidabergs,Sundsvall,2,3,A,1.89,3.63,4.52,1.9,3.8,5.0,1.84,3.48,4.23
Sweden,Allsvenskan,2015,09/04/2015,18:00,Hacken,Djurgarden,1,1,D,1.99,3.56,4.13,2.1,3.69,4.5,1.91,3.48,3.91
Sweden,Allsvenskan,2015,09/04/2015,18:00,Halmstad,Norrkoping,0,3,A,2.51,3.5,2.94,2.56,3.52,3.06,2.43,3.25,2.84
Sweden,Allsvenskan,2015,09/04/2015,18:05,Malmo FF,AIK,0,0,D,1.68,4.13,5.37,1.74,4.13,6.0,1.64,3.84,5.09
Sweden,Allsvenskan,2015,12/04/2015,14:00,Falkenbergs,Orebro,2,0,H,3.03,3.43,2.45,3.03,3.49,2.52,2.83,3.24,2.44
Sweden,Allsvenskan,2015,12/04/2015,14:00,Halmstad,Helsingborg,1,2,A,2.81,3.28,2.71,2.81,3.35,2.72,2.67,3.19,2.61
Sweden,Allsvenskan,2015,12/04/2015,16:30,AIK,Gefle,3,1,H,1.43,4.81,8.57,1.5,4.81,8.57,1.42,4.36,7.36
Sweden,Allsvenskan,2015,12/04/2015,16:30,Goteborg,Malmo FF,0,1,A,2.44,3.44,3.08,2.5,3.45,3.1,2.39,3.21,2.95
Sweden,Allsvenskan,2015,13/04/2015,18:00,Kalmar,Atvidabergs,2,1,H,1.95,3.49,4.44,1.96,3.6,5.1,1.87,3.36,4.26
Sweden,Allsvenskan,2015,13/04/2015,18:00,Norrkoping,Elfsborg,0,4,A,3.11,3.5,2.39,3.19,3.55,2.44,3.0,3.32,2.3
Sweden,Allsvenskan,2015,13/04/2015,18:00,Sundsvall,Hacken,1,1,D,3.35,3.67,2.2,3.5,3.67,2.27,3.24,3.38,2.15
Sweden,Allsvenskan,2015,13/04/2015,18:05,Hammarby,Djurgarden,2,1,H,2.73,3.36,2.79,2.8,3.36,2.92,2.58,3.2,2.71
Sweden,Allsvenskan,2015,17/04/2015,18:00,Djurgarden,Kalmar,1,0,H,1.98,3.54,4.2,2.02,3.54,4.3,1.94,3.35,3.92
Sweden,Allsvenskan,2015,18/04/2015,15:00,Gefle,Halmstad,0,0,D,2.19,3.39,3.65,2.3,3.4,3.81,2.18,3.23,3.33
Sweden,Allsvenskan,2015,19/04/2015,14:00,Atvidabergs,Falkenbergs,3,1,H,2.05,3.47,4.05,2.1,3.55,4.15,1.98,3.34,3.82
Sweden,Allsvenskan,2015,19/04/2015,16:30,Hacken,Goteborg,1,2,A,3.7,3.56,2.13,3.72,3.56,2.33,3.33,3.33,2.15
Sweden,Allsvenskan,2015,20/04/2015,18:00,Helsingborg,Norrkoping,3,1,H,2.15,3.46,3.69,2.17,3.6,3.94,2.05,3.32,3.58
Sweden,Allsvenskan,2015,20/04/2015,18:00,Orebro,Sundsvall,1,3,A,1.59,4.27,6.16,1.65,4.27,6.5,1.58,3.91,5.58
Sweden,Allsvenskan,2015,20/04/2015,18:05,Malmo FF,Hammarby,3,1,H,1.43,4.74,8.81,1.43,4.9,9.3,1.39,4.49,7.81
Sweden,Allsvenskan,2015,21/04/2015,17:30,Elfsborg,AIK,3,2,H,1.88,3.65,4.57,2.07,3.75,4.59,1.9,3.47,3.97
Sweden,Allsvenskan,2015,24/04/2015,18:00,Falkenbergs,Malmo FF,3,3,D,6.86,4.56,1.52,7.8,4.8,1.52,6.69,4.26,1.46
Sweden,Allsvenskan,2015,25/04/2015,15:00,Hammarby,Atvidabergs,2,1,H,1.55,4.3,6.87,1.75,4.3,6.87,1.58,3.9,5.64
Sweden,Allsvenskan,2015,26/04/2015,14:00,Halmstad,Elfsborg,1,0,H,4.97,4.04,1.74,5.1,4.04,1.77,4.57,3.7,1.73
Sweden,Allsvenskan,2015,26/04/2015,14:00,Sundsvall,Djurgarden,0,2,A,3.11,3.48,2.4,3.2,3.48,2.45,2.96,3.26,2.36
Sweden,Allsvenskan,2015,26/04/2015,16:30,AIK,Orebro,3,0,H,1.63,4.04,6.13,1.67,4.3,6.13,1.62,3.86,5.27
Sweden,Allsvenskan,2015,26/04/2015,16:30,Kalmar,Hacken,0,1,A,2.61,3.38,2.89,2.67,3.38,2.94,2.52,3.21,2.77
Sweden,Allsvenskan,2015,27/04/2015,18:00,Norrkoping,Gefle,4,1,H,1.71,3.92,5.42,1.75,3.92,5.42,1.69,3.66,4.94
Sweden,Allsvenskan,2015,27/04/2015,18:05,Goteborg,Helsingborg,3,1,H,1.5,4.46,7.41,1.58,4.46,7.66,1.5,4.05,6.59
Sweden,Allsvenskan,2015,29/04/2015,18:00,Djurgarden,Falkenbergs,3,1,H,1.42,4.76,8.9,1.5,4.8,8.9,1.42,4.38,7.47
Sweden,Allsvenskan,2015,29/04/2015,18:00,Elfsborg,Kalmar,2,1,H,1.53,4.3,7.14,1.53,4.33,8.0,1.49,4.03,6.77
Sweden,Allsvenskan,2015,29/04/2015,18:00,Malmo FF,Halmstad,3,1,H,1.23,7.05,15.01,1.25,7.05,16.0,1.22,6.07,12.58
Sweden,Allsvenskan,2015,29/04/2015,18:05,Atvidabergs,AIK,1,1,D,4.49,3.74,1.87,4.9,3.8,1.92,4.1,3.57,1.84
Sweden,Allsvenskan,2015,30/04/2015,16:00,Hacken,Norrkoping,0,2,A,1.69,4.04,5.34,1.8,4.04,5.34,1.7,3.77,4.64
Sweden,Allsvenskan,2015,30/04/2015,18:00,Gefle,Goteborg,0,0,D,4.93,3.76,1.8,5.7,3.77,1.8,4.79,3.55,1.73
Sweden,Allsvenskan,2015,30/04/2015,18:00,Helsingborg,Sundsvall,2,0,H,1.66,4.2,5.43,1.67,4.3,6.0,1.61,3.89,5.3
Sweden,Allsvenskan,2015,30/04/2015,18:05,Orebro,Hammarby,2,2,D,2.38,3.59,3.06,2.65,3.62,3.08,2.39,3.36,2.85
Sweden,Allsvenskan,2015,03/05/2015,14:00,Norrkoping,Atvidabergs,2,1,H,1.71,4.06,5.16,1.74,4.06,5.5,1.67,3.76,4.93
Sweden,Allsvenskan,2015,03/05/2015,14:00,Sundsvall,Elfsborg,0,1,A,5.35,4.08,1.68,5.4,4.1,1.75,4.95,3.75,1.67
Sweden,Allsvenskan,2015,03/05/2015,16:30,Djurgarden,Gefle,5,1,H,1.5,4.61,7.22,1.53,4.61,7.9,1.47,4.18,6.84
Sweden,Allsvenskan,2015,03/05/2015,16:30,Malmo FF,Helsingborg,3,1,H,1.38,5.2,9.07,1.4,5.3,9.6,1.37,4.68,8.22
Sweden,Allsvenskan,2015,04/05/2015,18:00,Goteborg,Falkenbergs,2,1,H,1.3,5.88,11.75,1.3,6.1,13.15,1.26,5.57,10.73
Sweden,Allsvenskan,2015,04/05/2015,18:00,Halmstad,Hacken,0,2,A,3.31,3.52,2.28,3.31,3.6,2.35,3.1,3.33,2.24
