Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
ARG1,Superliga ,2016,2016-02-05,22:00,Banfield,Gimnasia L.P.,2,0,H,1.9,3.47,4.72,1.9,3.84,6.5,1.72,3.42,5.02
ARG1,Superliga ,2016,2016-02-05,22:00,Huracan,Atl. Rafaela,0,1,A,2.12,3.28,3.99,2.22,3.4,4.05,2.1,3.13,3.58
ARG1,Superliga ,2016,2016-02-06,00:15,Rosario Central,Godoy Cruz,1,0,H,1.61,3.82,6.97,1.61,3.86,7.3,1.56,3.61,6.3
ARG1,Superliga ,2016,2016-02-06,20:00,Aldosivi,Olimpo Bahia Blanca,3,0,H,2.39,3.05,3.6,2.6,3.05,3.6,2.36,2.9,3.23
ARG1,Superliga ,2016,2016-02-06,20:00,Argentinos Jrs,Tigre,1,1,D,2.75,3.07,2.98,2.83,3.1,2.98,2.66,2.93,2.79
ARG1,Superliga ,2016,2016-02-06,22:00,Patronato,San Lorenzo,2,2,D,2.89,3.02,2.88,3.65,3.05,2.88,2.79,2.93,2.7
ARG1,Superliga ,2016,2016-02-06,22:15,San Martin S.J.,Newells Old Boys,2,1,H,2.95,3.03,2.81,2.95,3.03,2.92,2.75,2.92,2.71
ARG1,Superliga ,2016,2016-02-07,00:00,Temperley,Boca Juniors,0,0,D,7.42,3.82,1.59,7.42,3.82,1.77,6.25,3.52,1.59
ARG1,Superliga ,2016,2016-02-07,20:00,Defensa y Justicia,Union de Santa Fe,2,2,D,2.14,3.23,4.04,2.16,3.23,4.12,2.09,3.08,3.67
ARG1,Superliga ,2016,2016-02-07,20:00,Independiente,Belgrano,1,0,H,1.91,3.28,5.09,2.05,3.28,5.09,1.89,3.14,4.4
ARG1,Superliga ,2016,2016-02-07,22:15,Colon Santa FE,Arsenal Sarandi,2,1,H,1.98,3.23,4.74,2.15,3.25,4.74,1.98,3.08,4.12
ARG1,Superliga ,2016,2016-02-08,00:15,Atl. Tucuman,Racing Club,2,1,H,2.69,3.14,3.03,3.0,3.14,3.03,2.6,2.96,2.84
ARG1,Superliga ,2016,2016-02-08,22:00,Estudiantes L.P.,Lanus,0,1,A,2.73,3.04,3.03,2.73,3.1,3.1,2.6,2.9,2.88
ARG1,Superliga ,2016,2016-02-08,22:15,River Plate,Quilmes,5,1,H,1.44,4.26,10.26,1.45,4.33,10.26,1.42,3.97,8.68
ARG1,Superliga ,2016,2016-02-09,00:15,Sarmiento Junin,Velez Sarsfield,1,0,H,2.3,3.06,3.79,2.38,3.06,3.8,2.26,2.93,3.42
ARG1,Superliga ,2016,2016-02-12,22:00,Arsenal Sarandi,Banfield,3,1,H,2.78,3.14,2.89,2.82,3.14,2.89,2.67,2.98,2.74
ARG1,Superliga ,2016,2016-02-12,22:00,Union de Santa Fe,Temperley,3,0,H,1.95,3.23,4.92,1.96,3.3,4.92,1.9,3.11,4.37
ARG1,Superliga ,2016,2016-02-13,00:15,Godoy Cruz,Independiente,1,1,D,3.33,3.14,2.46,3.35,3.14,2.5,3.11,2.99,2.39
ARG1,Superliga ,2016,2016-02-13,00:15,Quilmes,Colon Santa FE,2,4,A,2.55,3.06,3.26,2.57,3.06,3.36,2.46,2.91,3.08
ARG1,Superliga ,2016,2016-02-13,22:00,Aldosivi,Argentinos Jrs,3,2,H,1.83,3.41,5.41,2.0,3.56,6.0,1.87,3.21,4.48
ARG1,Superliga ,2016,2016-02-13,22:00,Atl. Rafaela,Estudiantes L.P.,0,1,A,2.74,3.13,2.93,3.0,3.13,2.93,2.68,3.0,2.71
ARG1,Superliga ,2016,2016-02-13,22:00,San Lorenzo,Sarmiento Junin,2,1,H,1.6,3.84,7.3,1.63,3.84,8.0,1.57,3.57,6.38
ARG1,Superliga ,2016,2016-02-14,00:15,Racing Club,San Martin S.J.,2,2,D,1.47,4.26,9.02,1.5,4.4,10.0,1.44,4.03,7.81
ARG1,Superliga ,2016,2016-02-14,00:15,Velez Sarsfield,Olimpo Bahia Blanca,2,1,H,2.04,3.13,4.64,2.05,3.2,4.67,1.99,3.03,4.14
ARG1,Superliga ,2016,2016-02-14,20:00,Lanus,Defensa y Justicia,2,1,H,1.83,3.44,5.3,1.91,3.44,5.3,1.8,3.27,4.73
ARG1,Superliga ,2016,2016-02-14,20:00,Rosario Central,Newells Old Boys,2,0,H,1.89,3.36,5.03,1.92,3.36,5.1,1.84,3.2,4.56
ARG1,Superliga ,2016,2016-02-14,22:00,Gimnasia L.P.,Patronato,3,2,H,2.25,3.23,3.7,2.3,3.23,3.71,2.19,3.04,3.46
ARG1,Superliga ,2016,2016-02-14,22:15,Boca Juniors,Atl. Tucuman,0,1,A,1.52,4.2,7.72,1.54,4.2,7.9,1.49,3.84,7.02
ARG1,Superliga ,2016,2016-02-15,00:15,Belgrano,River Plate,3,2,H,3.02,3.11,2.69,3.15,3.14,2.75,2.86,3.0,2.55
ARG1,Superliga ,2016,2016-02-16,22:15,Banfield,Quilmes,1,1,D,1.86,3.58,4.78,1.86,3.65,5.15,1.79,3.38,4.55
ARG1,Superliga ,2016,2016-02-16,22:15,Olimpo Bahia Blanca,San Lorenzo,0,2,A,3.23,3.06,2.54,3.4,3.15,2.54,3.14,2.94,2.39
ARG1,Superliga ,2016,2016-02-17,00:30,Argentinos Jrs,Velez Sarsfield,0,3,A,2.8,3.08,2.92,2.8,3.08,3.05,2.65,2.93,2.82
ARG1,Superliga ,2016,2016-02-17,20:00,Defensa y Justicia,Atl. Rafaela,4,1,H,2.05,3.38,4.15,2.11,3.38,4.4,1.97,3.23,3.87
ARG1,Superliga ,2016,2016-02-17,20:00,Newells Old Boys,Racing Club,5,0,H,2.49,3.09,3.33,2.5,3.09,3.65,2.36,2.95,3.21
ARG1,Superliga ,2016,2016-02-17,22:15,Independiente,Rosario Central,0,2,A,2.33,3.09,3.68,2.33,3.11,3.88,2.22,3.0,3.42
ARG1,Superliga ,2016,2016-02-17,22:15,Patronato,Arsenal Sarandi,0,0,D,1.94,3.35,4.74,2.0,3.44,5.2,1.84,3.24,4.52
ARG1,Superliga ,2016,2016-02-18,00:15,San Martin S.J.,Boca Juniors,0,1,A,3.81,3.31,2.17,4.33,3.41,2.2,3.61,3.16,2.08
ARG1,Superliga ,2016,2016-02-18,00:30,Sarmiento Junin,Gimnasia L.P.,1,3,A,2.22,3.12,3.96,2.4,3.18,3.96,2.17,3.01,3.55
ARG1,Superliga ,2016,2016-02-18,20:00,Estudiantes L.P.,Tigre,1,1,D,2.27,3.14,3.75,2.27,3.14,4.0,2.16,3.01,3.56
ARG1,Superliga ,2016,2016-02-18,22:00,Colon Santa FE,Belgrano,3,0,H,2.4,3.2,3.38,2.5,3.2,3.4,2.35,3.03,3.12
ARG1,Superliga ,2016,2016-02-18,22:00,Temperley,Lanus,0,1,A,4.18,3.14,2.14,4.3,3.14,2.17,3.82,2.98,2.09
ARG1,Superliga ,2016,2016-02-19,00:15,Atl. Tucuman,Union de Santa Fe,2,0,H,2.15,3.31,3.88,2.16,3.31,4.05,2.09,3.14,3.59
ARG1,Superliga ,2016,2016-02-19,00:15,River Plate,Godoy Cruz,1,2,A,1.53,4.0,8.07,1.55,4.45,8.5,1.48,3.96,6.93
ARG1,Superliga ,2016,2016-02-20,20:00,San Lorenzo,Velez Sarsfield,3,2,H,1.75,3.65,5.58,1.95,3.65,5.58,1.76,3.37,4.81
