Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
ARG1,Superliga,2019/2020,2019-07-27,01:00,Racing Club,Union de Santa Fe,0,0,D,1.64,3.69,6.38,1.67,3.72,6.5,1.62,3.53,5.87
ARG1,Superliga,2019/2020,2019-07-27,17:15,Colon Santa FE,Patronato,0,1,A,2.03,2.95,4.91,2.03,3.2,4.91,1.96,3.0,4.45
ARG1,Superliga,2019/2020,2019-07-27,19:30,San Lorenzo,Godoy Cruz,3,2,H,1.91,3.22,5.03,1.96,3.22,5.03,1.87,3.11,4.69
ARG1,Superliga,2019/2020,2019-07-27,21:45,Lanus,Gimnasia L.P.,1,1,D,1.96,3.22,4.69,1.99,3.25,4.75,1.92,3.1,4.48
ARG1,Superliga,2019/2020,2019-07-28,00:00,Argentinos Jrs,River Plate,1,1,D,3.28,3.12,2.44,3.4,3.12,2.46,3.14,2.99,2.4
ARG1,Superliga,2019/2020,2019-07-28,15:00,Estudiantes L.P.,Aldosivi,1,0,H,1.98,3.18,4.7,1.98,3.22,4.8,1.93,3.05,4.56
ARG1,Superliga,2019/2020,2019-07-28,17:15,Newells Old Boys,Central Cordoba,2,0,H,1.75,3.5,5.52,1.8,3.5,5.52,1.74,3.35,5.17
ARG1,Superliga,2019/2020,2019-07-28,19:30,Talleres Cordoba,Velez Sarsfield,1,0,H,3.21,2.92,2.62,3.27,3.1,2.62,3.1,2.89,2.51
ARG1,Superliga,2019/2020,2019-07-28,21:45,Defensa y Justicia,Independiente,0,1,A,3.33,2.89,2.57,3.33,2.95,2.7,3.09,2.85,2.55
ARG1,Superliga,2019/2020,2019-07-29,00:00,Boca Juniors,Huracan,0,0,D,1.59,3.87,6.62,1.6,4.0,6.8,1.56,3.77,6.17
ARG1,Superliga,2019/2020,2019-07-29,23:00,Arsenal Sarandi,Banfield,1,0,H,3.07,3.15,2.56,3.07,3.15,2.65,2.9,3.02,2.54
ARG1,Superliga,2019/2020,2019-07-30,01:10,Atl. Tucuman,Rosario Central,1,2,A,2.32,3.16,3.47,2.34,3.17,3.55,2.25,3.04,3.4
ARG1,Superliga,2019/2020,2019-08-03,01:00,Huracan,Colon Santa FE,2,0,H,2.34,2.95,3.73,2.36,3.1,3.73,2.28,2.89,3.51
ARG1,Superliga,2019/2020,2019-08-03,17:15,Aldosivi,Argentinos Jrs,0,0,D,3.34,3.03,2.46,3.5,3.06,2.52,3.21,2.9,2.43
ARG1,Superliga,2019/2020,2019-08-03,19:30,Rosario Central,Talleres Cordoba,1,0,H,2.19,2.97,4.12,2.21,3.1,4.12,2.15,2.89,3.86
ARG1,Superliga,2019/2020,2019-08-03,21:45,Central Cordoba,Atl. Tucuman,1,0,H,2.97,2.87,2.86,2.97,2.95,2.89,2.84,2.84,2.75
ARG1,Superliga,2019/2020,2019-08-04,00:00,Velez Sarsfield,Racing Club,2,2,D,2.66,2.91,3.18,2.66,3.02,3.18,2.56,2.91,2.99
ARG1,Superliga,2019/2020,2019-08-04,15:00,Union de Santa Fe,Defensa y Justicia,2,1,H,2.34,2.76,4.07,2.34,3.04,4.2,2.19,2.8,3.91
ARG1,Superliga,2019/2020,2019-08-04,17:15,Gimnasia L.P.,San Lorenzo,0,1,A,2.85,2.68,3.22,2.85,2.9,3.22,2.72,2.7,3.01
ARG1,Superliga,2019/2020,2019-08-04,19:30,Banfield,Estudiantes L.P.,1,0,H,2.19,2.91,4.27,2.24,3.2,4.27,2.14,2.91,3.86
ARG1,Superliga,2019/2020,2019-08-04,21:45,River Plate,Lanus,3,0,H,1.64,3.75,6.21,1.69,3.82,6.5,1.64,3.6,5.57
ARG1,Superliga,2019/2020,2019-08-05,00:00,Patronato,Boca Juniors,0,2,A,4.31,3.19,2.05,4.6,3.4,2.1,4.13,3.16,1.97
