Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
CHN1,Super League,2020,2020-07-25,11:15,Guangzhou Evergrande,Shanghai Shenhua,2,0,H,1.61,4.0,5.24,1.66,4.45,6.22,1.59,4.1,4.97
CHN1,Super League,2020,2020-07-25,13:30,Wuhan Zall,Qingdao Huanghai,2,0,H,1.93,3.58,3.9,2.07,3.65,4.28,1.89,3.48,3.87
CHN1,Super League,2020,2020-07-26,08:30,Dalian Pro,Shandong Luneng,2,3,A,2.43,3.57,2.73,2.66,3.84,2.82,2.45,3.5,2.62
CHN1,Super League,2020,2020-07-26,11:00,Hebei,Shijiazhuang,2,2,D,3.22,3.43,2.19,3.35,3.62,2.61,3.02,3.34,2.24
CHN1,Super League,2020,2020-07-26,11:00,Shenzhen,Guangzhou R&F,3,0,H,3.26,4.03,1.99,3.52,4.2,2.21,3.19,3.85,1.99
CHN1,Super League,2020,2020-07-26,13:00,Chongqing Lifan,Beijing Guoan,1,2,A,8.46,5.28,1.32,12.25,6.1,1.35,9.32,5.28,1.29
CHN1,Super League,2020,2020-07-26,13:00,Henan Jianye,Jiangsu Suning,3,4,A,3.95,3.32,1.99,4.38,3.68,2.05,3.9,3.3,1.94
CHN1,Super League,2020,2020-07-27,12:35,Tianjin Teda,Shanghai SIPG,1,3,A,10.49,5.52,1.27,11.5,6.7,1.31,9.91,5.9,1.25
CHN1,Super League,2020,2020-07-30,11:00,Shanghai Shenhua,Shenzhen,3,2,H,2.31,3.49,2.95,2.47,3.75,3.42,2.28,3.36,2.97
CHN1,Super League,2020,2020-07-30,13:00,Guangzhou R&F,Guangzhou Evergrande,0,5,A,7.26,5.04,1.37,9.0,6.15,1.39,7.21,5.33,1.34
CHN1,Super League,2020,2020-07-31,11:00,Jiangsu Suning,Shandong Luneng,0,0,D,2.64,3.42,2.59,2.79,3.58,2.74,2.57,3.41,2.55
CHN1,Super League,2020,2020-07-31,13:00,Dalian Pro,Henan Jianye,1,1,D,1.63,3.99,5.13,1.65,4.3,7.2,1.6,4.01,5.02
CHN1,Super League,2020,2020-08-01,11:00,Beijing Guoan,Wuhan Zall,1,0,H,1.45,4.49,6.61,1.52,4.85,7.2,1.45,4.47,6.24
CHN1,Super League,2020,2020-08-01,14:00,Shijiazhuang,Qingdao Huanghai,2,2,D,,,,,,,,,
CHN1,Super League,2020,2020-08-02,11:00,Shanghai SIPG,Hebei,4,0,H,1.36,5.14,7.81,1.42,5.9,8.3,1.36,5.12,7.12
CHN1,Super League,2020,2020-08-02,13:00,Chongqing Lifan,Tianjin Teda,2,2,D,4.0,3.19,2.07,4.1,3.4,2.16,3.75,3.17,2.04
