Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
DNK1,Superliga ,2016/2017,2016-07-15,17:00,Viborg,Nordsjaelland,0,4,A,2.18,3.55,3.46,2.28,3.55,3.62,2.19,3.31,3.27
DNK1,Superliga ,2016/2017,2016-07-15,19:15,Odense,Silkeborg,0,0,D,1.94,3.64,4.24,1.94,3.72,4.5,1.86,3.48,4.14
DNK1,Superliga ,2016/2017,2016-07-16,17:30,FC Copenhagen,Lyngby,3,0,H,1.4,4.85,9.6,1.41,5.25,11.0,1.36,4.65,8.55
DNK1,Superliga ,2016/2017,2016-07-17,12:00,Sonderjyske,Aarhus,1,2,A,2.43,3.33,3.19,2.43,3.42,3.4,2.28,3.27,3.12
DNK1,Superliga ,2016/2017,2016-07-17,15:00,Aalborg,Horsens,1,1,D,1.55,4.31,6.69,1.6,4.5,7.13,1.54,4.04,6.03
DNK1,Superliga ,2016/2017,2016-07-17,17:00,Brondby,Esbjerg,4,0,H,1.93,3.7,4.26,1.96,3.7,4.55,1.87,3.53,4.02
DNK1,Superliga ,2016/2017,2016-07-18,18:00,Midtjylland,Randers FC,2,2,D,1.92,3.55,4.51,1.95,3.8,4.95,1.84,3.48,4.24
DNK1,Superliga ,2016/2017,2016-07-22,19:15,Aarhus,Viborg,2,1,H,2.13,3.44,3.79,2.16,3.6,4.5,2.02,3.35,3.71
DNK1,Superliga ,2016/2017,2016-07-23,16:00,Esbjerg,FC Copenhagen,0,4,A,7.96,4.31,1.5,8.32,4.75,1.55,7.15,4.11,1.47
DNK1,Superliga ,2016/2017,2016-07-24,11:00,Horsens,Sonderjyske,1,1,D,3.56,3.36,2.24,3.56,3.37,2.55,3.19,3.23,2.27
DNK1,Superliga ,2016/2017,2016-07-24,13:00,Lyngby,Odense,2,2,D,3.15,3.52,2.36,3.4,3.58,2.42,3.01,3.4,2.28
DNK1,Superliga ,2016/2017,2016-07-24,15:00,Silkeborg,Brondby,0,2,A,3.91,3.69,2.01,3.91,3.7,2.13,3.49,3.48,2.04
DNK1,Superliga ,2016/2017,2016-07-24,17:00,Nordsjaelland,Midtjylland,0,4,A,2.59,3.53,2.81,2.85,3.53,2.85,2.57,3.37,2.65
DNK1,Superliga ,2016/2017,2016-07-24,19:00,Randers FC,Aalborg,0,1,A,2.06,3.49,3.95,2.4,3.5,3.96,2.07,3.35,3.54
DNK1,Superliga ,2016/2017,2016-07-29,17:00,Viborg,Esbjerg,2,1,H,2.07,3.35,4.1,2.18,3.52,4.1,2.04,3.3,3.69
DNK1,Superliga ,2016/2017,2016-07-30,15:00,FC Copenhagen,Nordsjaelland,4,0,H,1.28,5.94,13.79,1.32,6.05,14.04,1.27,5.35,10.97
DNK1,Superliga ,2016/2017,2016-07-31,11:00,Sonderjyske,Lyngby,0,1,A,2.04,3.59,3.9,2.08,3.6,4.06,1.98,3.42,3.71
DNK1,Superliga ,2016/2017,2016-07-31,13:00,Midtjylland,Silkeborg,3,0,H,1.48,4.56,7.69,1.48,4.6,8.4,1.45,4.32,7.08
DNK1,Superliga ,2016/2017,2016-07-31,15:00,Brondby,Horsens,2,2,D,1.52,4.36,7.18,1.61,4.46,7.73,1.52,4.08,6.21
DNK1,Superliga ,2016/2017,2016-07-31,17:00,Aarhus,Randers FC,1,2,A,2.47,3.31,3.14,2.54,3.31,3.18,2.43,3.19,2.94
DNK1,Superliga ,2016/2017,2016-08-01,18:00,Aalborg,Odense,2,2,D,2.02,3.69,3.88,2.1,3.75,4.05,1.97,3.52,3.65
DNK1,Superliga ,2016/2017,2016-08-05,17:00,Randers FC,Horsens,1,0,H,1.68,3.91,5.72,1.74,3.92,5.75,1.67,3.67,5.11
DNK1,Superliga ,2016/2017,2016-08-05,19:15,Silkeborg,Lyngby,0,4,A,3.06,3.3,2.53,3.06,3.37,2.65,2.86,3.23,2.46
DNK1,Superliga ,2016/2017,2016-08-06,15:00,Odense,Viborg,0,0,D,2.05,3.56,3.9,2.23,3.6,3.9,2.09,3.38,3.46
DNK1,Superliga ,2016/2017,2016-08-07,12:00,Nordsjaelland,Aalborg,1,2,A,3.91,3.82,1.97,3.91,3.87,2.3,3.49,3.61,1.99
DNK1,Superliga ,2016/2017,2016-08-07,15:00,Sonderjyske,FC Copenhagen,1,1,D,6.48,4.17,1.58,7.13,4.36,1.62,5.97,3.96,1.55
DNK1,Superliga ,2016/2017,2016-08-07,17:00,Midtjylland,Brondby,3,3,D,2.27,3.41,3.43,2.27,3.57,3.72,2.18,3.37,3.24
DNK1,Superliga ,2016/2017,2016-08-08,18:00,Esbjerg,Aarhus,2,2,D,3.78,3.73,2.03,3.83,3.84,2.22,3.45,3.57,2.03
DNK1,Superliga ,2016/2017,2016-08-12,17:00,Viborg,Randers FC,0,1,A,2.9,3.23,2.69,2.9,3.37,2.77,2.75,3.14,2.61
DNK1,Superliga ,2016/2017,2016-08-12,19:15,Lyngby,Aarhus,0,0,D,2.5,3.55,2.91,2.5,3.67,3.14,2.36,3.46,2.83
DNK1,Superliga ,2016/2017,2016-08-13,15:00,Horsens,Silkeborg,3,3,D,2.42,3.29,3.26,2.42,3.42,3.41,2.29,3.25,3.13
DNK1,Superliga ,2016/2017,2016-08-13,17:30,FC Copenhagen,Midtjylland,3,1,H,1.65,4.19,5.56,1.67,4.2,6.0,1.61,3.96,5.3
DNK1,Superliga ,2016/2017,2016-08-14,15:00,Odense,Nordsjaelland,3,1,H,1.55,4.38,6.65,1.65,4.4,6.65,1.55,4.13,5.62
DNK1,Superliga ,2016/2017,2016-08-14,17:00,Brondby,Sonderjyske,4,0,H,1.84,3.8,4.59,1.85,3.82,4.85,1.79,3.66,4.29
DNK1,Superliga ,2016/2017,2016-08-15,18:00,Aalborg,Esbjerg,2,1,H,1.53,4.62,6.38,1.56,4.7,6.54,1.51,4.34,5.81
DNK1,Superliga ,2016/2017,2016-08-19,17:00,Nordsjaelland,Randers FC,1,1,D,3.65,3.53,2.14,3.85,3.58,2.16,3.54,3.36,2.06
DNK1,Superliga ,2016/2017,2016-08-19,19:15,Horsens,Lyngby,2,1,H,2.82,3.22,2.78,3.15,3.4,2.78,2.76,3.2,2.57
DNK1,Superliga ,2016/2017,2016-08-20,17:30,FC Copenhagen,Aalborg,1,1,D,1.49,4.7,7.03,1.6,4.75,8.0,1.51,4.14,6.26
DNK1,Superliga ,2016/2017,2016-08-21,12:00,Silkeborg,Viborg,1,5,A,3.56,3.41,2.22,3.62,3.52,2.3,3.3,3.29,2.18
DNK1,Superliga ,2016/2017,2016-08-21,15:00,Aarhus,Brondby,0,7,A,3.06,3.44,2.45,3.1,3.47,2.55,2.92,3.27,2.4
DNK1,Superliga ,2016/2017,2016-08-21,17:00,Midtjylland,Sonderjyske,2,2,D,1.68,3.98,5.54,1.73,4.0,5.54,1.67,3.82,4.93
DNK1,Superliga ,2016/2017,2016-08-22,18:00,Esbjerg,Odense,3,2,H,3.15,3.46,2.39,3.35,3.58,2.42,3.03,3.37,2.29
DNK1,Superliga ,2016/2017,2016-08-26,17:00,Randers FC,Silkeborg,1,0,H,1.52,4.39,7.1,1.54,4.4,7.6,1.5,4.11,6.54
DNK1,Superliga ,2016/2017,2016-08-26,19:15,Lyngby,Nordsjaelland,0,1,A,2.28,3.52,3.3,2.36,3.53,3.3,2.28,3.41,3.02
