Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
IRL1,Premier Division ,2014,2014-03-07,19:45,Cork City,St. Patricks,1,1,D,4.96,3.58,1.83,4.96,3.6,1.91,4.24,3.33,1.83
IRL1,Premier Division ,2014,2014-03-07,19:45,Drogheda,Dundalk,4,1,H,4.07,3.54,2.01,4.5,3.55,2.03,4.03,3.32,1.88
IRL1,Premier Division ,2014,2014-03-07,19:45,Limerick,Bray,0,0,D,1.63,4.11,6.02,1.63,4.11,6.3,1.58,3.73,5.53
IRL1,Premier Division ,2014,2014-03-07,19:45,UC Dublin,Bohemians,0,3,A,3.87,3.49,2.09,3.87,3.5,2.1,3.56,3.32,2.0
IRL1,Premier Division ,2014,2014-03-08,19:45,Sligo Rovers,Athlone,2,1,H,1.25,6.05,16.5,1.36,6.7,18.0,1.2,5.79,13.23
IRL1,Premier Division ,2014,2014-03-09,17:25,Shamrock Rovers,Derry City,1,1,D,1.89,3.66,4.49,1.91,3.66,4.87,1.8,3.43,4.26
IRL1,Premier Division ,2014,2014-03-14,19:45,Athlone,Shamrock Rovers,1,4,A,9.83,4.88,1.39,10.0,4.88,1.5,7.93,4.19,1.4
IRL1,Premier Division ,2014,2014-03-14,19:45,Bohemians,Drogheda,2,2,D,2.23,3.38,3.58,2.3,3.38,3.59,2.15,3.16,3.34
IRL1,Premier Division ,2014,2014-03-14,19:45,Bray,Sligo Rovers,1,0,H,10.35,4.92,1.38,11.0,5.0,1.45,8.94,4.38,1.36
IRL1,Premier Division ,2014,2014-03-14,19:45,Dundalk,Limerick,2,1,H,1.46,4.46,8.75,1.6,4.5,8.75,1.47,3.96,6.98
IRL1,Premier Division ,2014,2014-03-14,19:45,St. Patricks,UC Dublin,3,2,H,1.18,7.81,21.4,1.2,8.5,21.4,1.15,6.91,15.89
IRL1,Premier Division ,2014,2014-03-16,15:15,Derry City,Cork City,0,1,A,2.0,3.5,4.15,2.1,3.5,4.16,1.97,3.25,3.74
IRL1,Premier Division ,2014,2014-03-21,19:45,Bohemians,Shamrock Rovers,1,3,A,5.44,3.7,1.75,5.44,3.7,1.9,4.49,3.4,1.77
IRL1,Premier Division ,2014,2014-03-21,19:45,Cork City,Bray,3,1,H,1.57,4.19,6.66,1.6,4.25,6.66,1.53,3.89,5.85
IRL1,Premier Division ,2014,2014-03-21,19:45,Drogheda,Derry City,1,1,D,3.43,3.45,2.24,3.5,3.45,2.28,3.23,3.22,2.16
IRL1,Premier Division ,2014,2014-03-21,19:45,UC Dublin,Athlone,2,1,H,2.24,3.53,3.39,2.3,3.53,3.4,2.19,3.24,3.16
