Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
JPN1,J-League,2017,2017-02-25,03:30,Yokohama M.,Urawa,3,2,H,4.19,3.85,1.9,4.19,3.98,2.0,3.78,3.56,1.91
JPN1,J-League,2017,2017-02-25,05:00,Hiroshima,Albirex Niigata,1,1,D,1.6,4.22,6.2,1.62,4.25,6.2,1.58,3.91,5.56
JPN1,J-League,2017,2017-02-25,05:00,Kashima,FC Tokyo,0,1,A,1.79,3.84,4.87,1.9,4.4,4.87,1.79,3.59,4.3
JPN1,J-League,2017,2017-02-25,05:00,Sagan Tosu,Kashiwa,1,3,A,2.83,3.16,2.82,2.83,3.2,2.91,2.66,3.03,2.74
JPN1,J-League,2017,2017-02-25,05:00,Shimizu,Kobe,0,1,A,2.92,3.5,2.52,2.92,3.6,2.65,2.69,3.35,2.5
JPN1,J-League,2017,2017-02-25,05:00,Vegalta Sendai,Sapporo,1,0,H,2.23,3.32,3.64,2.25,3.36,3.77,2.15,3.15,3.46
JPN1,J-League,2017,2017-02-25,06:00,C-Osaka,Iwata,0,0,D,2.12,3.37,3.9,2.12,3.5,3.97,2.03,3.25,3.71
JPN1,J-League,2017,2017-02-25,07:00,Omiya Ardija,Kawasaki Frontale,0,2,A,3.64,3.65,2.1,3.64,3.72,2.25,3.32,3.41,2.1
JPN1,J-League,2017,2017-02-26,08:00,G-Osaka,Kofu,1,1,D,1.5,4.29,7.83,1.55,4.36,8.1,1.49,4.01,6.72
JPN1,J-League,2017,2017-03-04,05:00,Hiroshima,Shimizu,0,1,A,1.71,3.99,5.3,1.74,4.04,5.6,1.66,3.84,4.85
JPN1,J-League,2017,2017-03-04,05:00,Kofu,Kashima,0,1,A,7.24,3.95,1.58,7.24,3.95,1.64,6.1,3.69,1.57
JPN1,J-League,2017,2017-03-04,05:00,Urawa,C-Osaka,3,1,H,1.4,5.04,8.8,1.5,5.04,8.9,1.41,4.49,7.28
JPN1,J-League,2017,2017-03-04,06:00,FC Tokyo,Omiya Ardija,2,0,H,1.85,3.71,4.68,1.95,3.71,4.68,1.83,3.43,4.25
JPN1,J-League,2017,2017-03-04,06:00,Iwata,Vegalta Sendai,0,1,A,2.84,3.25,2.75,2.88,3.3,2.9,2.68,3.16,2.62
JPN1,J-League,2017,2017-03-04,07:00,Kobe,Albirex Niigata,2,1,H,2.05,3.41,4.02,2.05,3.62,4.03,1.96,3.37,3.76
