Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
NOR1,Eliteserien,2019,2019-03-30,14:30,Odd,Brann,3,2,H,2.32,3.28,3.38,2.55,3.28,3.38,2.39,3.11,3.11
NOR1,Eliteserien,2019,2019-03-30,17:00,Valerenga,Mjondalen,2,0,H,1.63,4.04,5.71,1.69,4.05,5.71,1.63,3.85,5.31
NOR1,Eliteserien,2019,2019-03-31,17:00,Ranheim,Tromso,1,2,A,2.36,3.43,3.18,2.4,3.5,3.2,2.32,3.36,3.0
NOR1,Eliteserien,2019,2019-03-31,17:00,Sarpsborg 08,Molde,1,1,D,2.64,3.48,2.74,2.71,3.48,2.8,2.61,3.31,2.65
NOR1,Eliteserien,2019,2019-03-31,17:00,Stromsgodset,Haugesund,3,2,H,2.06,3.37,4.01,2.07,3.55,4.01,2.0,3.38,3.77
NOR1,Eliteserien,2019,2019-03-31,17:00,Viking,Kristiansund,2,0,H,2.09,3.6,3.63,2.2,3.67,3.65,2.09,3.45,3.42
NOR1,Eliteserien,2019,2019-03-31,19:00,Bodo/Glimt,Rosenborg,2,0,H,2.97,3.41,2.49,3.05,3.58,2.49,2.95,3.31,2.38
NOR1,Eliteserien,2019,2019-04-01,18:00,Stabaek,Lillestrom,1,1,D,2.88,3.37,2.59,2.91,3.5,2.9,2.73,3.29,2.55
NOR1,Eliteserien,2019,2019-04-06,17:00,Mjondalen,Bodo/Glimt,4,5,A,2.93,3.42,2.52,2.98,3.5,2.55,2.84,3.31,2.44
NOR1,Eliteserien,2019,2019-04-07,17:00,Haugesund,Sarpsborg 08,1,1,D,2.76,3.46,2.64,2.85,3.46,2.74,2.73,3.28,2.55
NOR1,Eliteserien,2019,2019-04-07,17:00,Kristiansund,Valerenga,2,0,H,3.15,3.56,2.31,3.2,3.56,2.6,3.04,3.35,2.3
NOR1,Eliteserien,2019,2019-04-07,17:00,Lillestrom,Ranheim,2,1,H,1.67,3.94,5.42,1.74,4.0,5.5,1.65,3.85,5.05
NOR1,Eliteserien,2019,2019-04-07,17:00,Molde,Stabaek,3,0,H,1.36,5.54,7.97,1.38,5.54,10.0,1.33,5.09,8.65
NOR1,Eliteserien,2019,2019-04-07,17:00,Tromso,Viking,0,2,A,2.18,3.62,3.37,2.18,3.68,3.75,2.07,3.46,3.45
NOR1,Eliteserien,2019,2019-04-07,19:00,Brann,Stromsgodset,1,1,D,1.69,3.98,5.11,1.73,4.1,5.25,1.68,3.82,4.83
NOR1,Eliteserien,2019,2019-04-08,18:00,Rosenborg,Odd,1,1,D,1.81,3.73,4.65,1.96,3.73,4.9,1.85,3.43,4.32
NOR1,Eliteserien,2019,2019-04-10,17:30,Brann,Kristiansund,2,1,H,1.52,4.23,6.86,1.55,4.43,7.0,1.51,4.12,6.29
NOR1,Eliteserien,2019,2019-04-10,17:30,Molde,Valerenga,4,1,H,1.41,5.01,7.5,1.45,5.15,9.5,1.41,4.65,7.25
NOR1,Eliteserien,2019,2019-04-12,18:00,Stromsgodset,Mjondalen,2,3,A,1.78,3.87,4.63,1.82,4.2,5.25,1.72,3.87,4.49
NOR1,Eliteserien,2019,2019-04-13,19:00,Viking,Brann,2,1,H,3.23,3.6,2.25,3.4,3.6,2.29,3.18,3.37,2.22
NOR1,Eliteserien,2019,2019-04-14,17:00,Bodo/Glimt,Molde,3,2,H,2.97,3.76,2.33,3.03,3.8,2.41,2.9,3.51,2.31
