Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
ROU1,Liga 1,2018/2019,2018-07-20,19:00,CFR Cluj,FC Botosani,1,1,D,1.39,4.63,10.18,1.4,4.74,10.5,1.36,4.35,8.98
ROU1,Liga 1,2018/2019,2018-07-21,16:00,FC Hermannstadt,Sepsi Sf. Gheorghe,1,0,H,3.54,2.94,2.44,3.54,3.05,2.45,3.29,2.89,2.35
ROU1,Liga 1,2018/2019,2018-07-21,19:00,Astra,FC Steaua Bucuresti,1,0,H,4.93,3.72,1.78,4.93,3.72,1.87,4.44,3.43,1.79
ROU1,Liga 1,2018/2019,2018-07-22,16:00,Viitorul Constanta,Calarasi,0,1,A,1.65,3.75,6.3,1.7,3.9,6.3,1.62,3.64,5.5
ROU1,Liga 1,2018/2019,2018-07-22,19:00,Din. Bucuresti,FC Voluntari,2,1,H,1.47,4.48,7.89,1.5,4.48,7.89,1.45,4.13,6.97
ROU1,Liga 1,2018/2019,2018-07-23,16:00,Gaz Metan Medias,Concordia,2,1,H,2.35,3.25,3.33,2.5,3.26,3.33,2.27,3.13,3.15
ROU1,Liga 1,2018/2019,2018-07-23,19:00,U Craiova,Poli Iasi,0,0,D,1.61,3.71,7.09,1.63,4.0,7.27,1.56,3.66,6.22
ROU1,Liga 1,2018/2019,2018-07-27,19:00,FC Botosani,FC Hermannstadt,2,0,H,2.07,3.13,4.33,2.14,3.2,4.35,2.03,3.07,3.89
ROU1,Liga 1,2018/2019,2018-07-28,16:00,Calarasi,CFR Cluj,0,0,D,6.34,3.57,1.68,6.7,3.75,1.68,5.71,3.53,1.62
ROU1,Liga 1,2018/2019,2018-07-28,19:00,Poli Iasi,Astra,1,1,D,2.64,3.13,2.99,2.7,3.16,2.99,2.55,3.03,2.8
ROU1,Liga 1,2018/2019,2018-07-29,16:00,Sepsi Sf. Gheorghe,U Craiova,1,0,H,3.81,3.17,2.2,3.81,3.4,2.27,3.46,3.12,2.14
ROU1,Liga 1,2018/2019,2018-07-29,19:00,FC Steaua Bucuresti,Din. Bucuresti,3,3,D,1.88,3.54,4.56,1.94,3.64,4.75,1.85,3.41,4.16
ROU1,Liga 1,2018/2019,2018-07-30,16:00,FC Voluntari,Gaz Metan Medias,1,1,D,2.82,3.04,2.85,2.82,3.12,2.94,2.65,2.99,2.74
ROU1,Liga 1,2018/2019,2018-07-30,19:00,Concordia,Viitorul Constanta,1,1,D,2.41,3.12,3.36,2.63,3.16,3.4,2.36,3.06,3.07
ROU1,Liga 1,2018/2019,2018-08-03,19:00,U Craiova,FC Botosani,2,2,D,2.16,3.15,3.97,2.21,3.25,4.06,2.09,3.11,3.63
ROU1,Liga 1,2018/2019,2018-08-04,16:00,Astra,Sepsi Sf. Gheorghe,1,1,D,2.0,3.17,4.62,2.02,3.34,4.68,1.93,3.19,4.14
ROU1,Liga 1,2018/2019,2018-08-04,19:00,CFR Cluj,Concordia,2,1,H,1.35,5.1,10.31,1.5,5.27,11.0,1.36,4.52,8.61
ROU1,Liga 1,2018/2019,2018-08-05,16:00,FC Hermannstadt,Calarasi,1,1,D,2.36,3.15,3.43,2.39,3.16,3.48,2.3,3.03,3.21
ROU1,Liga 1,2018/2019,2018-08-05,19:00,FC Steaua Bucuresti,Poli Iasi,4,0,H,1.46,4.31,8.64,1.49,4.84,9.3,1.4,4.3,7.73
ROU1,Liga 1,2018/2019,2018-08-06,16:00,Viitorul Constanta,FC Voluntari,2,0,H,1.49,4.35,7.61,1.53,4.35,7.84,1.47,4.04,6.82
ROU1,Liga 1,2018/2019,2018-08-06,19:00,Gaz Metan Medias,Din. Bucuresti,3,2,H,2.99,3.33,2.51,3.05,3.36,2.51,2.85,3.22,2.4
ROU1,Liga 1,2018/2019,2018-08-10,19:00,FC Botosani,Astra,1,1,D,2.16,3.23,3.85,2.23,3.28,4.0,2.11,3.11,3.6
ROU1,Liga 1,2018/2019,2018-08-11,16:00,Concordia,FC Hermannstadt,2,0,H,2.1,3.09,4.31,2.14,3.19,4.31,2.07,3.07,3.76
ROU1,Liga 1,2018/2019,2018-08-11,19:00,Sepsi Sf. Gheorghe,Poli Iasi,3,0,H,1.97,3.24,4.54,2.05,3.36,4.54,1.96,3.13,4.08
ROU1,Liga 1,2018/2019,2018-08-12,13:30,Calarasi,U Craiova,1,3,A,3.72,3.03,2.31,3.72,3.25,2.39,3.36,2.98,2.27
ROU1,Liga 1,2018/2019,2018-08-12,16:00,FC Voluntari,CFR Cluj,1,2,A,6.17,4.09,1.6,7.5,4.22,1.6,5.83,3.86,1.55
ROU1,Liga 1,2018/2019,2018-08-12,19:00,Gaz Metan Medias,FC Steaua Bucuresti,1,3,A,2.8,3.21,2.75,3.16,3.5,2.75,2.8,3.12,2.52
ROU1,Liga 1,2018/2019,2018-08-13,19:00,Din. Bucuresti,Viitorul Constanta,1,0,H,2.37,3.37,3.18,2.38,3.47,3.4,2.3,3.27,2.99
ROU1,Liga 1,2018/2019,2018-08-17,19:00,Poli Iasi,FC Botosani,2,1,H,3.03,3.01,2.7,3.03,3.07,2.74,2.89,2.95,2.56
ROU1,Liga 1,2018/2019,2018-08-18,16:00,Astra,Calarasi,1,1,D,1.99,3.16,4.68,2.02,3.33,4.8,1.92,3.17,4.26
ROU1,Liga 1,2018/2019,2018-08-18,19:00,Viitorul Constanta,Gaz Metan Medias,2,0,H,1.66,3.88,5.82,1.72,4.2,5.82,1.63,3.74,5.15
ROU1,Liga 1,2018/2019,2018-08-19,16:00,FC Steaua Bucuresti,Sepsi Sf. Gheorghe,2,0,H,1.61,3.88,6.46,1.64,4.0,6.51,1.58,3.72,5.76
