Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
RUS1,Premier League,2015/2016,2015-07-17,17:00,Spartak Moscow,Ufa,2,2,D,1.42,4.8,8.75,1.5,5.1,8.75,1.44,4.27,6.97
RUS1,Premier League,2015/2016,2015-07-18,16:30,CSKA Moscow,Rubin Kazan,1,0,H,1.61,4.06,6.44,1.61,4.25,7.6,1.56,3.81,5.98
RUS1,Premier League,2015/2016,2015-07-18,19:00,FK Rostov,Akhmat Grozny,1,1,D,2.53,3.16,3.2,2.6,3.3,3.62,2.46,3.03,2.97
RUS1,Premier League,2015/2016,2015-07-19,11:30,Zenit,Dynamo Moscow,2,1,H,1.7,3.95,5.46,1.7,4.2,5.9,1.64,3.75,5.11
RUS1,Premier League,2015/2016,2015-07-19,16:00,M. Saransk,Lokomotiv Moscow,0,1,A,4.22,3.3,2.06,4.85,3.5,2.11,3.79,3.2,2.03
RUS1,Premier League,2015/2016,2015-07-19,19:00,FK Anzi Makhackala,FK Krylya Sovetov Samara,0,1,A,1.97,3.39,4.49,2.02,3.46,5.3,1.87,3.27,4.37
RUS1,Premier League,2015/2016,2015-07-20,15:00,Amkar,Krasnodar,0,1,A,4.0,3.5,2.04,4.65,3.5,2.07,3.85,3.3,1.97
RUS1,Premier League,2015/2016,2015-07-20,18:00,Kuban,Ural,0,2,A,1.72,3.75,5.57,1.77,3.92,6.5,1.71,3.51,5.02
RUS1,Premier League,2015/2016,2015-07-24,17:00,FK Krylya Sovetov Samara,CSKA Moscow,0,2,A,7.43,3.89,1.58,7.9,4.33,1.6,6.52,3.8,1.53
RUS1,Premier League,2015/2016,2015-07-25,14:00,Ufa,FK Rostov,1,2,A,3.0,3.27,2.57,3.42,3.27,2.62,2.96,3.04,2.47
RUS1,Premier League,2015/2016,2015-07-25,16:30,Dynamo Moscow,M. Saransk,2,2,D,1.31,5.64,11.79,1.4,5.7,14.5,1.31,4.93,9.83
RUS1,Premier League,2015/2016,2015-07-25,19:00,Akhmat Grozny,Kuban,1,1,D,2.03,3.22,4.49,2.2,3.3,4.49,2.03,3.13,3.85
RUS1,Premier League,2015/2016,2015-07-26,11:30,Ural,Zenit,1,4,A,6.45,4.12,1.6,7.0,4.2,1.64,6.07,3.82,1.56
RUS1,Premier League,2015/2016,2015-07-26,15:00,Rubin Kazan,Amkar,0,2,A,1.71,3.77,5.71,1.76,3.8,6.8,1.66,3.52,5.47
RUS1,Premier League,2015/2016,2015-07-26,18:00,Krasnodar,Spartak Moscow,0,1,A,1.91,3.94,4.06,2.07,3.94,4.06,1.91,3.6,3.72
RUS1,Premier League,2015/2016,2015-07-27,18:00,FK Anzi Makhackala,Lokomotiv Moscow,1,3,A,2.96,3.11,2.74,3.16,3.2,2.79,2.9,2.97,2.55
RUS1,Premier League,2015/2016,2015-07-31,18:00,Kuban,Ufa,1,1,D,2.0,3.34,4.45,2.01,3.6,4.9,1.9,3.21,4.29
