Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
SWE1,Allsvenskan,2017,2017-04-01,12:00,Goteborg,Malmo FF,1,1,D,3.13,3.47,2.4,3.13,3.47,2.6,2.93,3.23,2.41
SWE1,Allsvenskan,2017,2017-04-01,15:00,Halmstad,Ostersunds,1,0,H,4.07,3.66,1.98,4.26,3.88,2.0,3.89,3.53,1.9
SWE1,Allsvenskan,2017,2017-04-02,14:00,AIK,Hacken,0,0,D,2.0,3.31,4.5,2.01,3.6,4.5,1.95,3.33,3.97
SWE1,Allsvenskan,2017,2017-04-02,14:00,Sundsvall,AFC Eskilstuna,3,1,H,2.4,3.45,3.15,2.4,3.51,3.22,2.28,3.32,3.09
SWE1,Allsvenskan,2017,2017-04-02,16:30,Norrkoping,Hammarby,2,1,H,1.65,4.18,5.61,1.69,4.34,5.7,1.61,3.99,5.12
SWE1,Allsvenskan,2017,2017-04-03,18:00,Djurgarden,Sirius,0,2,A,1.81,3.66,4.97,1.86,3.7,5.1,1.77,3.54,4.58
SWE1,Allsvenskan,2017,2017-04-03,18:00,Kalmar,Elfsborg,1,5,A,2.49,3.34,3.09,2.55,3.37,3.09,2.44,3.18,2.93
SWE1,Allsvenskan,2017,2017-04-03,18:00,Orebro,Jonkopings,2,1,H,2.02,3.49,4.1,2.05,3.86,4.25,1.94,3.46,3.83
SWE1,Allsvenskan,2017,2017-04-08,15:00,AFC Eskilstuna,Orebro,2,2,D,2.97,3.49,2.49,2.97,3.52,2.6,2.81,3.31,2.46
SWE1,Allsvenskan,2017,2017-04-09,14:00,Hammarby,Kalmar,1,1,D,2.16,3.47,3.65,2.22,3.68,3.75,2.11,3.38,3.38
SWE1,Allsvenskan,2017,2017-04-09,14:00,Ostersunds,Norrkoping,1,0,H,2.39,3.44,3.17,2.55,3.52,3.34,2.28,3.32,3.07
SWE1,Allsvenskan,2017,2017-04-09,16:30,Hacken,Djurgarden,0,0,D,2.17,3.49,3.6,2.22,3.75,4.05,2.08,3.4,3.46
SWE1,Allsvenskan,2017,2017-04-09,16:30,Jonkopings,Halmstad,2,2,D,1.83,3.47,5.24,1.88,3.66,5.24,1.81,3.41,4.58
SWE1,Allsvenskan,2017,2017-04-09,16:30,Sirius,Goteborg,0,2,A,2.98,3.2,2.65,3.1,3.3,2.68,2.86,3.14,2.52
SWE1,Allsvenskan,2017,2017-04-10,18:00,Elfsborg,AIK,1,2,A,2.49,3.31,3.12,2.49,3.45,3.18,2.4,3.25,2.93
SWE1,Allsvenskan,2017,2017-04-11,17:30,Malmo FF,Sundsvall,2,0,H,1.25,6.59,13.23,1.27,6.6,15.0,1.22,6.1,11.74
SWE1,Allsvenskan,2017,2017-04-16,14:00,Halmstad,Malmo FF,0,3,A,6.71,4.76,1.5,7.5,5.0,1.53,6.86,4.3,1.45
SWE1,Allsvenskan,2017,2017-04-16,14:00,Orebro,Ostersunds,2,1,H,3.44,3.59,2.2,3.6,3.62,2.4,3.25,3.4,2.16
SWE1,Allsvenskan,2017,2017-04-16,16:30,Djurgarden,Elfsborg,3,0,H,1.96,3.78,4.0,2.26,3.78,4.2,1.96,3.51,3.74
SWE1,Allsvenskan,2017,2017-04-16,16:30,Sundsvall,Hacken,1,2,A,4.38,3.68,1.91,4.75,3.68,1.99,4.16,3.47,1.86
SWE1,Allsvenskan,2017,2017-04-17,14:00,AIK,Hammarby,1,2,A,1.81,3.59,5.18,1.83,3.8,5.5,1.76,3.51,4.71
SWE1,Allsvenskan,2017,2017-04-17,14:00,Kalmar,Jonkopings,1,3,A,1.98,3.55,4.19,2.0,3.6,4.45,1.92,3.35,4.07
SWE1,Allsvenskan,2017,2017-04-17,16:30,Goteborg,AFC Eskilstuna,1,1,D,1.29,6.01,12.24,1.35,6.3,12.5,1.27,5.59,10.48
SWE1,Allsvenskan,2017,2017-04-17,16:30,Norrkoping,Sirius,0,2,A,1.62,4.28,5.77,1.63,4.3,6.3,1.58,4.08,5.39
SWE1,Allsvenskan,2017,2017-04-20,17:30,Elfsborg,Orebro,3,0,H,1.71,4.22,4.94,1.78,4.22,5.0,1.69,3.99,4.51
SWE1,Allsvenskan,2017,2017-04-22,15:00,Jonkopings,AIK,2,1,H,3.65,3.16,2.3,3.65,3.34,2.3,3.47,3.08,2.2
SWE1,Allsvenskan,2017,2017-04-23,14:00,Hacken,Norrkoping,1,2,A,2.04,3.83,3.66,2.04,3.85,4.0,1.96,3.66,3.53
SWE1,Allsvenskan,2017,2017-04-23,14:00,Hammarby,Sundsvall,0,0,D,1.61,4.42,5.59,1.7,4.42,6.0,1.58,4.09,5.38
SWE1,Allsvenskan,2017,2017-04-23,16:30,AFC Eskilstuna,Halmstad,0,0,D,2.11,3.66,3.6,2.17,3.66,3.7,2.08,3.4,3.45
SWE1,Allsvenskan,2017,2017-04-23,16:30,Ostersunds,Goteborg,1,1,D,2.09,3.54,3.79,2.11,3.66,3.79,2.04,3.44,3.51
SWE1,Allsvenskan,2017,2017-04-24,18:00,Malmo FF,Djurgarden,3,2,H,1.76,3.7,5.37,1.8,3.88,5.8,1.73,3.62,4.79
SWE1,Allsvenskan,2017,2017-04-24,18:00,Sirius,Kalmar,3,0,H,2.38,3.45,3.18,2.42,3.45,3.4,2.29,3.29,3.08
SWE1,Allsvenskan,2017,2017-04-26,18:00,AFC Eskilstuna,Ostersunds,1,3,A,4.64,3.99,1.79,4.75,4.05,1.84,4.42,3.66,1.77
SWE1,Allsvenskan,2017,2017-04-26,18:00,Goteborg,Hammarby,1,1,D,1.66,4.06,5.72,1.72,4.1,5.8,1.65,3.76,5.23
SWE1,Allsvenskan,2017,2017-04-26,18:00,Orebro,Hacken,0,0,D,2.92,3.6,2.47,3.1,3.6,2.58,2.85,3.39,2.38
SWE1,Allsvenskan,2017,2017-04-26,18:00,Sundsvall,Elfsborg,1,1,D,3.89,3.94,1.94,4.2,3.95,1.96,3.83,3.67,1.88
SWE1,Allsvenskan,2017,2017-04-27,18:00,AIK,Sirius,1,0,H,1.83,3.62,4.91,1.95,3.7,5.0,1.8,3.51,4.46
SWE1,Allsvenskan,2017,2017-04-27,18:00,Halmstad,Djurgarden,0,1,A,5.48,3.84,1.72,5.48,4.15,1.79,4.91,3.69,1.7
SWE1,Allsvenskan,2017,2017-04-27,18:00,Kalmar,Malmo FF,0,0,D,5.94,4.02,1.65,6.25,4.05,1.66,5.67,3.8,1.6
SWE1,Allsvenskan,2017,2017-04-27,18:00,Norrkoping,Jonkopings,3,0,H,1.6,4.21,6.15,1.63,4.21,6.6,1.58,3.95,5.67
SWE1,Allsvenskan,2017,2017-04-29,15:00,Hammarby,AFC Eskilstuna,4,0,H,1.56,4.31,6.49,1.57,4.7,7.25,1.52,4.12,6.09
SWE1,Allsvenskan,2017,2017-04-30,14:00,AIK,Sundsvall,0,0,D,1.33,5.47,10.87,1.37,5.47,12.0,1.32,4.99,9.69
SWE1,Allsvenskan,2017,2017-05-01,14:00,Kalmar,Halmstad,2,0,H,2.0,3.39,4.34,2.02,3.55,4.45,1.93,3.35,4.03
SWE1,Allsvenskan,2017,2017-05-01,14:00,Malmo FF,Orebro,2,1,H,1.31,5.8,11.06,1.33,5.9,11.92,1.3,5.38,9.51
SWE1,Allsvenskan,2017,2017-05-01,16:30,Djurgarden,Norrkoping,3,3,D,2.21,3.76,3.25,2.27,3.76,3.45,2.14,3.54,3.16
SWE1,Allsvenskan,2017,2017-05-01,16:30,Sirius,Jonkopings,1,1,D,2.04,3.58,3.9,2.11,3.7,4.15,1.99,3.39,3.76
SWE1,Allsvenskan,2017,2017-05-02,17:30,Elfsborg,Ostersunds,4,4,D,2.49,3.45,2.99,2.54,3.62,3.04,2.41,3.38,2.81
SWE1,Allsvenskan,2017,2017-05-02,17:30,Hacken,Goteborg,4,0,H,2.27,3.48,3.36,2.32,3.5,3.37,2.23,3.34,3.15
SWE1,Allsvenskan,2017,2017-05-05,18:00,Hacken,Sirius,2,2,D,1.83,3.83,4.62,1.84,3.95,4.8,1.78,3.73,4.3
SWE1,Allsvenskan,2017,2017-05-06,15:00,Halmstad,AIK,0,1,A,4.95,3.57,1.84,5.15,3.7,1.88,4.72,3.38,1.8
SWE1,Allsvenskan,2017,2017-05-07,14:00,Goteborg,Kalmar,3,0,H,1.55,4.24,6.93,1.64,4.24,7.0,1.54,3.93,6.28
SWE1,Allsvenskan,2017,2017-05-07,14:00,Ostersunds,Hammarby,2,1,H,1.81,3.84,4.76,1.82,3.96,5.35,1.75,3.67,4.53
SWE1,Allsvenskan,2017,2017-05-07,16:30,Jonkopings,AFC Eskilstuna,1,0,H,1.69,3.82,5.78,1.75,3.9,6.0,1.67,3.62,5.33
SWE1,Allsvenskan,2017,2017-05-07,16:30,Orebro,Djurgarden,0,4,A,3.38,3.61,2.21,3.46,3.62,2.26,3.21,3.46,2.15
SWE1,Allsvenskan,2017,2017-05-08,18:00,Elfsborg,Malmo FF,1,2,A,3.61,3.73,2.08,3.68,3.8,2.13,3.35,3.55,2.06
SWE1,Allsvenskan,2017,2017-05-08,18:00,Norrkoping,Sundsvall,0,0,D,1.36,5.72,8.75,1.4,5.8,10.0,1.33,5.2,8.53
SWE1,Allsvenskan,2017,2017-05-12,18:00,AFC Eskilstuna,Norrkoping,1,2,A,5.67,4.5,1.6,6.0,4.7,1.6,5.36,4.24,1.56
SWE1,Allsvenskan,2017,2017-05-13,15:00,AIK,Orebro,1,0,H,1.51,4.37,7.56,1.53,4.45,8.2,1.47,4.1,7.13
SWE1,Allsvenskan,2017,2017-05-13,15:00,Kalmar,Hacken,0,1,A,3.56,3.57,2.16,3.56,3.6,2.21,3.36,3.4,2.11
SWE1,Allsvenskan,2017,2017-05-14,14:00,Halmstad,Hammarby,1,2,A,2.96,3.38,2.56,3.1,3.38,2.58,2.86,3.23,2.45
SWE1,Allsvenskan,2017,2017-05-14,14:00,Sundsvall,Jonkopings,0,0,D,3.03,3.26,2.57,3.2,3.4,2.57,2.98,3.17,2.4
SWE1,Allsvenskan,2017,2017-05-14,16:30,Malmo FF,Ostersunds,2,1,H,1.75,3.71,5.51,1.76,4.05,5.6,1.7,3.67,4.97
SWE1,Allsvenskan,2017,2017-05-14,16:30,Sirius,Elfsborg,4,1,H,2.23,3.72,3.24,2.4,3.8,3.35,2.19,3.48,3.1
SWE1,Allsvenskan,2017,2017-05-15,18:00,Djurgarden,Goteborg,1,0,H,2.08,3.62,3.73,2.1,3.7,3.75,2.03,3.44,3.51
SWE1,Allsvenskan,2017,2017-05-16,18:00,Norrkoping,Kalmar,2,0,H,1.38,5.54,8.34,1.42,5.7,9.05,1.35,5.07,7.84
SWE1,Allsvenskan,2017,2017-05-17,18:00,Hacken,Halmstad,2,1,H,1.38,5.45,8.62,1.41,5.46,8.95,1.35,5.02,7.99
SWE1,Allsvenskan,2017,2017-05-17,18:00,Hammarby,Malmo FF,1,1,D,3.61,3.61,2.12,3.7,3.61,2.21,3.42,3.44,2.07
SWE1,Allsvenskan,2017,2017-05-17,18:00,Orebro,Sundsvall,0,2,A,1.88,3.8,4.3,1.94,3.8,5.05,1.83,3.57,4.2
SWE1,Allsvenskan,2017,2017-05-17,18:00,Ostersunds,Sirius,0,0,D,1.78,3.98,4.69,1.84,3.98,4.75,1.75,3.75,4.38
SWE1,Allsvenskan,2017,2017-05-18,18:00,Elfsborg,AFC Eskilstuna,2,1,H,1.37,5.73,8.28,1.43,5.73,8.6,1.35,5.22,7.6
SWE1,Allsvenskan,2017,2017-05-18,18:00,Jonkopings,Djurgarden,1,1,D,3.42,3.25,2.35,3.5,3.4,2.46,3.22,3.12,2.3
SWE1,Allsvenskan,2017,2017-05-20,15:00,Ostersunds,Kalmar,2,1,H,1.37,5.33,9.48,1.4,5.5,9.55,1.35,4.94,8.39
SWE1,Allsvenskan,2017,2017-05-20,17:00,Halmstad,Orebro,0,0,D,2.23,3.5,3.44,2.38,3.5,3.44,2.24,3.33,3.14
SWE1,Allsvenskan,2017,2017-05-21,14:00,AFC Eskilstuna,Hacken,0,0,D,5.81,4.43,1.6,6.4,4.64,1.6,5.68,4.15,1.54
SWE1,Allsvenskan,2017,2017-05-21,14:00,Sirius,Hammarby,1,1,D,2.23,3.44,3.51,2.23,3.66,3.7,2.09,3.35,3.45
SWE1,Allsvenskan,2017,2017-05-21,16:30,Malmo FF,Norrkoping,1,2,A,1.71,4.15,5.0,1.74,4.25,5.6,1.68,3.93,4.69
SWE1,Allsvenskan,2017,2017-05-22,18:00,Djurgarden,AIK,0,1,A,2.09,3.45,3.91,2.1,3.48,4.04,2.02,3.32,3.7
SWE1,Allsvenskan,2017,2017-05-22,18:00,Elfsborg,Jonkopings,3,0,H,1.94,3.62,4.26,1.95,3.9,4.4,1.87,3.64,3.93
SWE1,Allsvenskan,2017,2017-05-22,18:00,Sundsvall,Goteborg,0,4,A,4.72,3.81,1.81,4.95,3.96,1.85,4.44,3.63,1.77
SWE1,Allsvenskan,2017,2017-05-27,15:00,Djurgarden,AFC Eskilstuna,4,1,H,1.29,6.42,10.3,1.3,6.7,12.0,1.27,5.73,9.99
SWE1,Allsvenskan,2017,2017-05-27,15:00,Kalmar,Sundsvall,3,0,H,1.99,3.56,4.12,2.0,3.65,4.5,1.93,3.38,3.99
SWE1,Allsvenskan,2017,2017-05-27,17:00,Norrkoping,Halmstad,3,2,H,1.39,5.37,8.26,1.39,5.7,9.5,1.34,5.08,8.22
SWE1,Allsvenskan,2017,2017-05-28,14:00,Hammarby,Jonkopings,2,2,D,1.94,3.4,4.62,1.94,3.5,4.8,1.86,3.35,4.38
SWE1,Allsvenskan,2017,2017-05-28,16:30,Goteborg,Elfsborg,1,1,D,1.82,4.15,4.25,1.84,4.15,4.6,1.77,3.86,4.13
SWE1,Allsvenskan,2017,2017-05-29,18:00,AIK,Malmo FF,0,1,A,3.05,3.18,2.61,3.05,3.44,2.62,2.89,3.12,2.5
SWE1,Allsvenskan,2017,2017-05-29,18:00,Hacken,Ostersunds,0,1,A,2.44,3.51,3.02,2.47,3.56,3.1,2.36,3.37,2.89
SWE1,Allsvenskan,2017,2017-05-29,18:00,Orebro,Sirius,2,1,H,2.6,3.41,2.89,2.76,3.41,2.92,2.54,3.23,2.77
SWE1,Allsvenskan,2017,2017-06-01,18:00,Norrkoping,AIK,0,0,D,1.99,3.62,4.04,2.01,3.75,4.33,1.93,3.49,3.85
SWE1,Allsvenskan,2017,2017-06-02,18:00,Elfsborg,Hacken,2,0,H,2.36,3.76,2.98,2.4,3.77,3.1,2.26,3.52,2.95
SWE1,Allsvenskan,2017,2017-06-03,15:00,Kalmar,Orebro,0,1,A,2.0,3.73,3.88,2.04,3.86,4.0,1.95,3.51,3.73
SWE1,Allsvenskan,2017,2017-06-03,15:00,Ostersunds,Sundsvall,3,1,H,1.3,5.84,11.65,1.32,5.9,12.0,1.28,5.41,10.43
SWE1,Allsvenskan,2017,2017-06-03,17:00,Jonkopings,Malmo FF,1,2,A,5.41,3.96,1.7,5.5,4.3,1.75,5.03,3.67,1.68
SWE1,Allsvenskan,2017,2017-06-04,14:00,AFC Eskilstuna,AIK,1,3,A,6.78,3.78,1.63,7.1,4.2,1.65,5.99,3.69,1.6
SWE1,Allsvenskan,2017,2017-06-04,14:00,Hammarby,Djurgarden,3,1,H,3.58,3.56,2.15,3.8,3.7,2.24,3.49,3.34,2.09
SWE1,Allsvenskan,2017,2017-06-04,16:30,Norrkoping,Goteborg,2,0,H,2.17,3.65,3.45,2.25,3.78,3.65,2.12,3.45,3.29
SWE1,Allsvenskan,2017,2017-06-04,16:30,Sirius,Halmstad,2,1,H,1.75,3.83,5.15,1.76,4.0,5.17,1.71,3.7,4.75
SWE1,Allsvenskan,2017,2017-07-01,15:00,Malmo FF,AFC Eskilstuna,3,2,H,1.14,9.52,22.2,1.2,10.5,27.6,1.13,8.38,18.72
SWE1,Allsvenskan,2017,2017-07-01,15:00,Sundsvall,Sirius,1,2,A,2.89,3.28,2.67,3.1,3.4,2.68,2.86,3.17,2.5
SWE1,Allsvenskan,2017,2017-07-01,17:00,Halmstad,Elfsborg,1,1,D,3.24,3.61,2.27,3.35,3.72,2.3,3.12,3.45,2.21
SWE1,Allsvenskan,2017,2017-07-02,14:00,Jonkopings,Goteborg,0,2,A,3.32,3.38,2.33,3.4,3.4,2.35,3.21,3.2,2.27
SWE1,Allsvenskan,2017,2017-07-02,16:30,AIK,Ostersunds,2,2,D,2.23,3.3,3.65,2.3,3.4,3.65,2.21,3.19,3.35
SWE1,Allsvenskan,2017,2017-07-02,16:30,Orebro,Norrkoping,4,2,H,3.89,3.91,1.95,4.05,3.95,2.01,3.66,3.67,1.93
SWE1,Allsvenskan,2017,2017-07-03,18:00,Djurgarden,Kalmar,4,1,H,1.41,4.84,9.17,1.43,5.05,10.0,1.37,4.61,8.49
SWE1,Allsvenskan,2017,2017-07-03,18:00,Hacken,Hammarby,2,0,H,1.83,3.79,4.65,1.89,3.9,4.75,1.8,3.66,4.28
SWE1,Allsvenskan,2017,2017-07-08,15:00,Hammarby,Orebro,3,1,H,1.69,4.04,5.41,1.71,4.25,5.6,1.66,3.87,4.94
SWE1,Allsvenskan,2017,2017-07-08,15:00,Sirius,AFC Eskilstuna,1,0,H,1.49,4.64,7.22,1.52,4.9,7.5,1.47,4.34,6.58
SWE1,Allsvenskan,2017,2017-07-08,17:00,Hacken,Malmo FF,0,1,A,2.93,3.33,2.61,3.04,3.5,2.65,2.84,3.28,2.45
SWE1,Allsvenskan,2017,2017-07-09,14:00,Norrkoping,Elfsborg,1,3,A,1.75,4.14,4.69,1.85,4.2,4.7,1.77,3.88,4.17
SWE1,Allsvenskan,2017,2017-07-09,16:30,Kalmar,AIK,0,1,A,4.56,3.68,1.87,4.7,3.74,1.91,4.34,3.46,1.83
SWE1,Allsvenskan,2017,2017-07-09,16:30,Ostersunds,Jonkopings,1,1,D,1.49,4.38,8.12,1.51,4.55,8.5,1.46,4.15,7.13
SWE1,Allsvenskan,2017,2017-07-10,18:00,Djurgarden,Sundsvall,2,1,H,1.32,5.78,10.35,1.36,5.95,11.5,1.32,5.16,9.25
SWE1,Allsvenskan,2017,2017-07-10,18:00,Goteborg,Halmstad,1,1,D,1.5,4.54,7.35,1.53,4.6,7.35,1.49,4.2,6.52
SWE1,Allsvenskan,2017,2017-07-15,15:00,AFC Eskilstuna,Kalmar,2,1,H,2.73,3.41,2.73,2.85,3.45,2.76,2.68,3.21,2.62
SWE1,Allsvenskan,2017,2017-07-15,15:00,Malmo FF,Sirius,3,3,D,1.49,4.51,7.58,1.53,4.8,7.65,1.47,4.35,6.62
SWE1,Allsvenskan,2017,2017-07-15,15:00,Sundsvall,Halmstad,1,0,H,2.41,3.32,3.23,2.45,3.45,3.3,2.32,3.23,3.09
SWE1,Allsvenskan,2017,2017-07-16,14:00,Orebro,Goteborg,4,2,H,3.4,3.65,2.19,3.55,3.75,2.29,3.25,3.48,2.13
SWE1,Allsvenskan,2017,2017-07-16,16:30,AIK,Norrkoping,1,0,H,1.98,3.66,4.03,2.05,3.72,4.15,1.96,3.45,3.77
SWE1,Allsvenskan,2017,2017-07-16,16:30,Ostersunds,Djurgarden,2,1,H,2.89,3.38,2.61,2.95,3.5,2.87,2.66,3.33,2.58
SWE1,Allsvenskan,2017,2017-07-17,18:00,Elfsborg,Hammarby,3,0,H,1.96,3.92,3.83,2.0,4.05,4.2,1.89,3.75,3.74
SWE1,Allsvenskan,2017,2017-07-17,18:00,Jonkopings,Hacken,0,1,A,3.3,3.44,2.32,3.4,3.44,2.4,3.14,3.22,2.3
SWE1,Allsvenskan,2017,2017-07-22,15:00,Halmstad,Sundsvall,2,2,D,2.01,3.44,4.24,2.05,3.6,4.25,1.98,3.33,3.87
SWE1,Allsvenskan,2017,2017-07-22,15:00,Malmo FF,Jonkopings,2,0,H,1.37,5.1,10.0,1.37,5.8,11.0,1.33,4.94,9.19
SWE1,Allsvenskan,2017,2017-07-22,17:00,Sirius,Hacken,2,2,D,2.85,3.43,2.61,2.95,3.55,2.75,2.71,3.29,2.54
SWE1,Allsvenskan,2017,2017-07-23,14:00,Djurgarden,Ostersunds,3,0,H,1.89,3.63,4.53,1.92,3.75,4.7,1.85,3.53,4.19
SWE1,Allsvenskan,2017,2017-07-23,16:30,Goteborg,Orebro,2,2,D,1.68,4.19,5.26,1.72,4.3,5.3,1.65,3.96,4.86
SWE1,Allsvenskan,2017,2017-07-23,16:30,Kalmar,AFC Eskilstuna,2,0,H,1.76,3.78,5.21,1.85,4.05,5.21,1.75,3.6,4.65
SWE1,Allsvenskan,2017,2017-07-24,18:00,Hammarby,Elfsborg,2,1,H,2.45,3.58,2.96,2.52,3.75,3.05,2.37,3.5,2.8
SWE1,Allsvenskan,2017,2017-07-29,15:00,Elfsborg,Sirius,0,2,A,1.61,4.4,5.68,1.67,4.5,5.8,1.6,4.16,5.09
SWE1,Allsvenskan,2017,2017-07-29,15:00,Jonkopings,Hammarby,1,0,H,3.03,3.28,2.56,3.1,3.4,2.65,2.85,3.15,2.53
SWE1,Allsvenskan,2017,2017-07-29,17:00,Sundsvall,Malmo FF,0,1,A,7.6,4.6,1.48,8.0,4.7,1.5,6.93,4.36,1.45
