Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
SWZ1,Super League,2015/2016,2015-07-18,16:45,Luzern,Sion,2,2,D,2.31,3.44,3.31,2.31,3.7,3.7,2.14,3.32,3.28
SWZ1,Super League,2015/2016,2015-07-18,19:00,Zurich,Young Boys,1,1,D,2.86,3.48,2.58,2.9,3.6,2.75,2.66,3.34,2.52
SWZ1,Super League,2015/2016,2015-07-19,12:45,Basel,Vaduz,2,0,H,1.42,4.93,8.38,1.42,5.27,9.0,1.36,4.72,7.79
SWZ1,Super League,2015/2016,2015-07-19,12:45,Thun,Grasshoppers,3,5,A,2.71,3.44,2.74,2.73,3.44,3.02,2.49,3.23,2.76
SWZ1,Super League,2015/2016,2015-07-19,15:00,St. Gallen,Lugano,2,0,H,2.07,3.82,3.56,2.07,3.82,4.2,1.97,3.56,3.54
SWZ1,Super League,2015/2016,2015-07-25,16:45,Young Boys,Luzern,1,1,D,2.15,3.62,3.52,2.16,3.8,4.2,2.04,3.45,3.43
SWZ1,Super League,2015/2016,2015-07-25,19:00,Grasshoppers,Basel,2,3,A,3.27,3.62,2.26,3.6,3.65,2.26,3.27,3.42,2.12
SWZ1,Super League,2015/2016,2015-07-26,12:45,Lugano,Thun,2,3,A,2.63,3.66,2.69,2.63,3.66,3.3,2.35,3.4,2.84
SWZ1,Super League,2015/2016,2015-07-26,12:45,Sion,St. Gallen,1,0,H,1.74,3.96,5.05,1.86,3.96,5.05,1.78,3.63,4.25
SWZ1,Super League,2015/2016,2015-07-26,15:00,Vaduz,Zurich,2,2,D,3.84,3.56,2.07,3.84,3.56,2.19,3.38,3.38,2.08
SWZ1,Super League,2015/2016,2015-08-01,14:00,Basel,Sion,3,0,H,2.16,3.45,3.72,2.18,4.0,4.7,1.98,3.43,3.69
SWZ1,Super League,2015/2016,2015-08-01,14:00,St. Gallen,Young Boys,1,1,D,2.54,3.58,2.85,2.73,3.6,2.88,2.5,3.33,2.69
SWZ1,Super League,2015/2016,2015-08-02,12:45,Lugano,Vaduz,1,0,H,2.2,3.75,3.29,2.21,3.8,3.5,2.11,3.51,3.17
SWZ1,Super League,2015/2016,2015-08-02,12:45,Thun,Luzern,0,1,A,2.82,3.55,2.57,2.82,3.55,2.73,2.67,3.27,2.54
SWZ1,Super League,2015/2016,2015-08-02,15:00,Zurich,Grasshoppers,2,3,A,2.93,3.51,2.47,2.95,3.56,2.75,2.63,3.31,2.56
SWZ1,Super League,2015/2016,2015-08-08,16:45,Grasshoppers,Lugano,6,1,H,1.76,4.13,4.67,1.77,4.2,5.5,1.67,3.9,4.63
SWZ1,Super League,2015/2016,2015-08-08,19:00,Luzern,Basel,1,3,A,3.03,3.66,2.37,3.66,3.7,2.37,3.03,3.42,2.22
SWZ1,Super League,2015/2016,2015-08-09,12:45,St. Gallen,Zurich,0,2,A,2.3,3.59,3.22,2.3,3.61,3.56,2.14,3.41,3.2
SWZ1,Super League,2015/2016,2015-08-09,12:45,Vaduz,Sion,1,1,D,4.55,3.5,1.93,4.65,3.62,1.93,4.05,3.43,1.87
SWZ1,Super League,2015/2016,2015-08-09,15:00,Young Boys,Thun,3,1,H,1.91,3.78,4.24,1.95,3.88,4.5,1.82,3.58,4.12
SWZ1,Super League,2015/2016,2015-08-12,18:45,Basel,Thun,3,1,H,1.38,5.27,9.07,1.4,5.5,10.5,1.35,4.82,8.13
SWZ1,Super League,2015/2016,2015-08-12,18:45,Young Boys,Lugano,0,1,A,1.6,4.6,5.44,1.62,4.65,5.6,1.58,4.17,5.04
SWZ1,Super League,2015/2016,2015-08-12,19:30,Luzern,St. Gallen,0,1,A,1.78,4.06,4.64,1.9,4.06,4.64,1.77,3.73,4.13
SWZ1,Super League,2015/2016,2015-08-13,18:45,Sion,Zurich,3,1,H,2.0,3.7,3.92,2.01,3.9,4.0,1.94,3.48,3.69
SWZ1,Super League,2015/2016,2015-08-13,18:45,Vaduz,Grasshoppers,3,3,D,3.68,3.64,2.09,4.2,3.9,2.09,3.61,3.53,1.95
SWZ1,Super League,2015/2016,2015-08-22,16:45,Lugano,Basel,1,3,A,3.96,4.03,1.91,4.1,4.2,1.92,3.76,3.81,1.83
SWZ1,Super League,2015/2016,2015-08-22,19:00,Zurich,Luzern,2,5,A,2.47,3.6,2.92,2.52,3.7,2.94,2.39,3.38,2.79
SWZ1,Super League,2015/2016,2015-08-23,12:45,St. Gallen,Grasshoppers,0,2,A,2.97,3.8,2.35,3.08,3.85,2.5,2.87,3.52,2.27
SWZ1,Super League,2015/2016,2015-08-23,12:45,Thun,Vaduz,1,0,H,1.81,3.86,4.7,2.05,3.86,4.7,1.84,3.55,4.06
SWZ1,Super League,2015/2016,2015-08-23,15:00,Sion,Young Boys,1,3,A,1.83,3.92,4.49,2.0,4.0,4.49,1.82,3.65,4.05
SWZ1,Super League,2015/2016,2015-08-29,16:45,Lugano,Luzern,0,1,A,3.48,3.86,2.09,3.75,3.87,2.16,3.22,3.61,2.06
SWZ1,Super League,2015/2016,2015-08-29,19:00,Vaduz,St. Gallen,1,0,H,3.01,3.5,2.45,3.1,3.5,2.6,2.85,3.29,2.38
SWZ1,Super League,2015/2016,2015-08-30,12:45,Thun,Sion,0,2,A,3.25,3.27,2.43,3.25,3.4,2.45,2.95,3.24,2.35
SWZ1,Super League,2015/2016,2015-08-30,15:00,Basel,Zurich,3,1,H,1.66,4.04,5.68,1.68,4.33,7.0,1.59,3.93,5.29
SWZ1,Super League,2015/2016,2015-08-30,15:00,Grasshoppers,Young Boys,3,2,H,1.98,3.78,3.91,1.98,3.85,4.1,1.89,3.59,3.77
SWZ1,Super League,2015/2016,2015-09-12,19:00,Basel,St. Gallen,2,1,H,1.35,5.84,8.71,1.37,5.84,9.1,1.34,5.09,7.76
SWZ1,Super League,2015/2016,2015-09-12,19:00,Young Boys,Vaduz,4,0,H,1.56,4.62,6.06,1.57,4.62,7.0,1.5,4.24,5.94
SWZ1,Super League,2015/2016,2015-09-13,12:45,Luzern,Grasshoppers,3,3,D,2.13,3.89,3.36,2.2,3.91,3.64,2.07,3.6,3.22
SWZ1,Super League,2015/2016,2015-09-13,12:45,Zurich,Thun,3,3,D,1.87,3.79,4.43,1.93,3.8,4.43,1.87,3.54,3.91
SWZ1,Super League,2015/2016,2015-09-13,15:00,Sion,Lugano,3,0,H,1.51,4.6,6.82,1.57,4.6,7.0,1.49,4.23,6.12
SWZ1,Super League,2015/2016,2015-09-22,18:45,Lugano,Zurich,0,0,D,3.02,3.7,2.36,3.15,3.8,2.38,2.87,3.49,2.28
SWZ1,Super League,2015/2016,2015-09-22,18:45,St. Gallen,Thun,1,0,H,2.21,3.66,3.35,2.27,3.66,3.4,2.18,3.4,3.13
SWZ1,Super League,2015/2016,2015-09-23,18:45,Grasshoppers,Sion,2,0,H,2.73,3.74,2.55,2.88,3.75,2.9,2.62,3.42,2.52
SWZ1,Super League,2015/2016,2015-09-23,18:45,Vaduz,Luzern,1,2,A,4.49,3.98,1.81,4.7,3.99,2.0,4.05,3.64,1.82
SWZ1,Super League,2015/2016,2015-09-23,19:30,Young Boys,Basel,4,3,H,3.01,3.71,2.36,3.3,3.75,2.38,2.95,3.47,2.24
SWZ1,Super League,2015/2016,2015-09-26,16:45,Grasshoppers,St. Gallen,1,1,D,1.73,4.2,4.79,1.78,4.2,5.0,1.69,3.89,4.48
SWZ1,Super League,2015/2016,2015-09-26,19:00,Basel,Lugano,3,1,H,1.25,7.14,12.16,1.25,7.97,14.08,1.22,6.4,11.15
SWZ1,Super League,2015/2016,2015-09-27,12:45,Sion,Vaduz,0,1,A,1.45,4.78,7.95,1.5,4.78,8.0,1.44,4.33,7.0
SWZ1,Super League,2015/2016,2015-09-27,12:45,Thun,Young Boys,0,1,A,3.19,3.56,2.32,3.45,3.6,2.38,3.1,3.38,2.2
SWZ1,Super League,2015/2016,2015-09-27,15:00,Luzern,Zurich,1,0,H,2.07,3.8,3.56,2.18,3.8,3.72,2.03,3.54,3.36
SWZ1,Super League,2015/2016,2015-10-03,16:45,Vaduz,Thun,1,1,D,2.99,3.41,2.52,3.0,3.41,2.62,2.81,3.22,2.45
