Div,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA1,MLS,2020,2020-02-29,18:00,DC United,Colorado Rapids,1,2,A,2.09,3.59,3.53,2.15,3.74,3.6,2.06,3.55,3.39
USA1,MLS,2020,2020-02-29,20:00,Montreal Impact,New England Revolution,2,1,H,2.92,3.44,2.46,2.92,3.5,2.63,2.78,3.38,2.46
USA1,MLS,2020,2020-02-29,20:30,Houston Dynamo,Los Angeles Galaxy,1,1,D,2.15,3.83,3.18,2.19,3.95,3.36,2.1,3.77,3.14
USA1,MLS,2020,2020-02-29,22:30,San Jose Earthquakes,Toronto FC,2,2,D,1.93,3.97,3.72,1.97,4.0,3.9,1.89,3.84,3.65
USA1,MLS,2020,2020-02-29,23:00,FC Dallas,Philadelphia Union,2,0,H,1.93,3.84,3.88,1.97,3.84,4.1,1.9,3.66,3.79
USA1,MLS,2020,2020-02-29,23:00,Orlando City,Real Salt Lake,0,0,D,1.99,3.61,3.87,2.06,3.63,3.95,1.97,3.49,3.72
USA1,MLS,2020,2020-03-01,01:00,Nashville SC,Atlanta Utd,1,2,A,3.37,3.69,2.12,4.04,3.75,2.15,3.32,3.57,2.08
USA1,MLS,2020,2020-03-01,03:30,Vancouver Whitecaps,Sporting Kansas City,1,3,A,3.27,3.64,2.18,3.4,3.75,2.2,3.15,3.55,2.15
USA1,MLS,2020,2020-03-01,17:30,Columbus Crew,New York City,1,0,H,2.26,3.65,3.1,2.35,3.68,3.25,2.24,3.5,3.02
USA1,MLS,2020,2020-03-01,18:00,New York Red Bulls,FC Cincinnati,3,2,H,1.59,4.0,6.19,1.64,4.5,6.25,1.57,4.07,5.58
USA1,MLS,2020,2020-03-01,20:00,Seattle Sounders,Chicago Fire,2,1,H,2.07,3.49,3.71,2.11,3.8,3.8,2.03,3.49,3.54
USA1,MLS,2020,2020-03-01,22:30,Los Angeles FC,Inter Miami,1,0,H,1.33,5.92,8.31,1.41,6.06,9.6,1.31,5.66,8.13
USA1,MLS,2020,2020-03-02,00:30,Portland Timbers,Minnesota United,1,3,A,1.79,4.12,4.17,1.86,4.12,4.2,1.8,3.88,4.01
USA1,MLS,2020,2020-03-07,18:30,New England Revolution,Chicago Fire,1,1,D,2.12,3.79,3.28,2.2,4.04,3.8,1.97,3.81,3.44
USA1,MLS,2020,2020-03-07,19:00,Real Salt Lake,New York Red Bulls,1,1,D,2.42,3.55,2.9,2.48,3.62,3.05,2.38,3.43,2.86
USA1,MLS,2020,2020-03-07,20:00,FC Dallas,Montreal Impact,2,2,D,1.54,4.22,6.43,1.61,4.45,6.5,1.54,4.16,5.86
USA1,MLS,2020,2020-03-07,20:30,DC United,Inter Miami,2,1,H,2.36,3.46,3.06,2.51,3.68,3.2,2.28,3.43,3.01
USA1,MLS,2020,2020-03-07,22:00,Toronto FC,New York City,1,0,H,1.93,3.74,3.99,1.98,3.94,4.11,1.88,3.74,3.81
USA1,MLS,2020,2020-03-08,00:00,Atlanta Utd,FC Cincinnati,2,1,H,1.6,4.06,5.89,1.64,4.45,7.2,1.56,4.12,5.69
USA1,MLS,2020,2020-03-08,01:00,San Jose Earthquakes,Minnesota United,2,5,A,1.95,3.86,3.78,2.0,4.1,4.2,1.89,3.8,3.73
USA1,MLS,2020,2020-03-08,01:30,Sporting Kansas City,Houston Dynamo,4,0,H,1.67,4.04,5.12,1.69,4.3,5.5,1.63,4.01,5.02
USA1,MLS,2020,2020-03-08,02:00,Colorado Rapids,Orlando City,2,1,H,1.65,4.2,5.03,1.68,4.21,5.63,1.63,4.03,5.02
USA1,MLS,2020,2020-03-08,03:00,Los Angeles Galaxy,Vancouver Whitecaps,0,1,A,1.44,4.72,7.36,1.47,5.15,8.11,1.42,4.8,6.81
USA1,MLS,2020,2020-03-08,03:00,Seattle Sounders,Columbus Crew,1,1,D,1.98,3.5,4.05,2.0,3.8,4.33,1.93,3.5,3.89
USA1,MLS,2020,2020-03-08,23:00,Portland Timbers,Nashville SC,1,0,H,1.6,4.2,5.64,1.63,4.79,6.0,1.59,4.19,5.21
USA1,MLS,2020,2020-03-09,02:30,Los Angeles FC,Philadelphia Union,3,3,D,1.37,5.47,7.66,1.4,5.6,8.0,1.36,5.25,7.19
USA1,MLS,2020,2020-07-09,01:00,Orlando City,Inter Miami,2,1,H,2.75,3.33,2.54,2.9,3.6,2.59,2.75,3.36,2.46
USA1,MLS,2020,2020-07-09,14:00,New York City,Philadelphia Union,0,1,A,2.09,3.75,3.33,2.12,4.01,3.4,2.05,3.74,3.22
USA1,MLS,2020,2020-07-10,01:00,Montreal Impact,New England Revolution,0,1,A,2.92,3.68,2.32,3.15,3.82,2.32,2.95,3.56,2.24
USA1,MLS,2020,2020-07-11,02:00,Seattle Sounders,San Jose Earthquakes,0,0,D,1.98,3.91,3.51,2.07,3.94,3.7,1.96,3.7,3.48
USA1,MLS,2020,2020-07-12,01:00,Atlanta Utd,New York Red Bulls,0,1,A,2.53,3.61,2.59,2.72,3.8,2.95,2.51,3.49,2.61
USA1,MLS,2020,2020-07-12,04:20,FC Cincinnati,Columbus Crew,0,4,A,4.53,3.76,1.74,5.4,3.8,1.9,4.75,3.62,1.72
USA1,MLS,2020,2020-07-13,01:10,Sporting Kansas City,Minnesota United,1,2,A,2.0,3.72,3.45,2.05,3.85,3.7,1.99,3.66,3.43
USA1,MLS,2020,2020-07-13,03:30,Real Salt Lake,Colorado Rapids,2,0,H,2.99,3.5,2.29,3.15,3.54,2.47,2.97,3.38,2.3
USA1,MLS,2020,2020-07-13,14:00,Toronto FC,DC United,2,2,D,1.94,3.6,3.8,2.0,3.7,4.25,1.93,3.52,3.74
USA1,MLS,2020,2020-07-14,01:00,Los Angeles FC,Houston Dynamo,3,3,D,1.61,4.39,4.68,1.69,4.97,5.4,1.62,4.27,4.6
USA1,MLS,2020,2020-07-14,03:30,Los Angeles Galaxy,Portland Timbers,1,2,A,2.67,3.78,2.38,2.86,3.78,2.52,2.69,3.59,2.39
