Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
GER2,2012/13,2012-08-03,Erzgebirge Aue,St Pauli,0,0,D,0,0,D,3.3,3.4,2.15,3.3,3.3,2.1,3.3,3.3,2.1,2.9,3.3,2.2,3.0,3.4,2.1,3.63,3.58,2.15,3.25,3.4,2.05,3.4,3.3,2.1,3.5,3.5,2.1,3.1,3.3,2.1,37,3.71,3.3,3.6,3.33,2.2,2.1,32,1.93,1.87,1.99,1.91,19,0.25,2.11,2.04,1.85,1.81,3.72,3.58,2.12
GER2,2012/13,2012-08-03,Hertha,Paderborn,2,2,D,0,1,A,1.57,4.1,5.5,1.5,4.0,6.0,1.5,4.0,6.0,1.5,3.9,5.5,1.44,4.0,6.0,1.6,4.23,6.03,1.53,4.0,5.5,1.53,4.0,6.0,1.53,4.2,6.5,1.44,4.2,6.0,35,1.56,1.51,4.4,4.0,6.81,6.05,30,1.82,1.75,2.11,2.05,18,-1.0,1.97,1.93,1.96,1.93,1.56,4.32,6.81
GER2,2012/13,2012-08-03,Ingolstadt,Cottbus,2,2,D,2,0,H,2.0,3.3,3.75,2.0,3.3,3.6,2.0,3.3,3.6,2.2,3.2,3.0,2.0,3.3,3.3,2.08,3.54,3.88,2.0,3.3,3.5,2.05,3.3,3.5,2.0,3.4,3.8,2.05,3.3,3.25,37,2.1,2.0,3.61,3.37,4.11,3.56,32,2.05,1.93,1.97,1.85,19,-0.25,1.76,1.71,2.25,2.18,2.0,3.6,4.08
GER2,2012/13,2012-08-04,Bochum,Dresden,2,1,H,0,1,A,2.2,3.4,3.2,2.15,3.3,3.2,,,,2.0,3.3,3.3,2.05,3.3,3.2,2.22,3.53,3.38,2.0,3.4,3.4,2.2,3.3,3.3,2.2,3.4,3.25,2.15,3.3,3.0,35,2.25,2.13,3.53,3.3,3.4,3.2,30,1.87,1.78,2.11,2.01,15,-0.5,2.25,2.19,1.73,1.69,2.06,3.62,3.87
GER2,2012/13,2012-08-04,Munich 1860,Regensburg,1,0,H,1,0,H,1.44,4.33,7.0,1.44,4.2,6.75,1.44,4.2,6.75,1.55,3.8,5.2,1.4,4.0,7.0,1.48,4.54,7.66,1.44,4.0,7.0,1.44,4.33,7.0,1.45,4.4,7.5,1.4,4.33,6.5,35,1.55,1.43,4.56,4.15,7.8,6.93,30,1.82,1.73,2.18,2.07,17,-1.0,1.75,1.72,2.25,2.16,1.36,5.25,10.35
GER2,2012/13,2012-08-05,Braunschweig,FC Koln,1,0,H,0,0,D,2.5,3.3,2.75,2.45,3.25,2.75,2.45,3.25,2.75,2.55,3.3,2.55,2.5,3.1,2.6,2.56,3.31,3.01,2.4,3.3,2.7,2.6,3.2,2.75,2.5,3.25,2.9,2.5,3.2,2.6,35,2.65,2.47,3.31,3.18,3.02,2.75,30,2.0,1.91,2.0,1.88,16,0.0,1.82,1.77,2.18,2.08,2.16,3.5,3.66
GER2,2012/13,2012-08-05,Duisburg,Aalen,1,4,A,1,2,A,1.67,3.75,5.0,1.67,3.6,5.0,1.67,3.6,5.0,1.7,3.5,4.4,1.67,3.5,4.5,1.67,3.94,5.77,1.6,3.6,4.6,1.67,3.6,5.0,1.65,3.8,5.5,1.62,3.6,5.0,35,1.77,1.69,3.8,3.56,5.3,4.7,29,1.96,1.86,2.0,1.93,15,-0.75,2.04,1.97,1.94,1.89,1.68,3.96,5.84
GER2,2012/13,2012-08-05,Sandhausen,Frankfurt FSV,1,1,D,1,1,D,2.2,3.3,3.3,2.1,3.25,3.4,2.1,3.25,3.4,2.2,3.3,2.9,2.2,3.3,2.88,2.2,3.47,3.54,2.3,3.25,2.88,2.25,3.2,3.2,2.15,3.4,3.4,2.2,3.25,3.0,35,2.3,2.14,3.47,3.24,3.57,3.25,30,2.08,1.97,1.87,1.81,16,-0.25,1.97,1.85,2.06,2.01,2.42,3.55,3.08
GER2,2012/13,2012-08-06,Kaiserslautern,Union Berlin,3,3,D,0,0,D,1.73,3.5,5.0,1.72,3.5,4.75,1.72,3.5,4.75,1.7,3.5,4.4,1.73,3.4,4.33,1.79,3.77,4.98,1.73,3.5,4.4,1.73,3.5,4.5,1.75,3.7,4.8,1.73,3.5,4.33,35,1.79,1.72,3.77,3.51,5.0,4.55,30,2.04,1.94,1.93,1.84,15,-0.75,2.04,1.98,1.92,1.89,1.69,4.01,5.58
GER2,2012/13,2012-08-10,Aalen,Kaiserslautern,1,2,A,1,2,A,3.2,3.4,2.2,3.1,3.3,2.2,3.1,3.3,2.2,2.8,3.2,2.3,2.88,3.25,2.2,3.27,3.53,2.32,3.1,3.3,2.15,3.13,3.3,2.25,3.2,3.4,2.25,2.75,3.3,2.3,35,3.37,3.04,3.51,3.3,2.36,2.23,29,1.95,1.88,1.99,1.9,18,0.25,1.98,1.92,2.02,1.94,3.37,3.51,2.27
